,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,4248,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.20384996243414347,0.16356282247975995,0.2951616370256504,0.2167807037956912,[],[]
1,4248,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.08455022328018938,0.082967499264768,0.48655963785688844,0.46971957448139384,[],[]
2,4248,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.07945011603794284,0.07597462490900028,0.04831712109884419,0.04812840073043817,['outputs/run-grasp-with-agent/_June09_17-20'],[]
3,4248,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,100,True,False,0.09065089726406399,0.08587607387150771,0.4553525799031008,0.3609204611230116,['outputs/run-grasp-with-agent/_June09_17-20'],[]
4,4248,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.2611863869669923,0.2611863869669923,0.16956544570102314,0.16363063246126808,[],[]
5,4248,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.09392576505129314,0.09343816131080256,0.5495258623770108,0.5132419384410976,[],[]
6,4248,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.08319173598341853,0.08319173598341853,0.3398212387230893,0.19763198072072172,[],[]
7,4248,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,100,False,False,0.13989454884663807,0.13989454884663807,0.24417294479578555,0.09641700113215454,[],[]
8,4248,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,100,False,False,0.27264514122863753,0.27264514122863753,0.20926801241380333,0.1419665232336367,[],[]
9,4248,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.4332646411749885,0.3442286836765723,0.5262578143294298,0.5146680369112772,[],[]
10,4248,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,200,False,False,0.15484397158178112,0.15484397158178112,0.28108053090631757,0.22229390847329913,[],[]
11,4248,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,200,True,False,0.08652789577164079,0.08652789577164079,0.4867561837153628,0.46257857002454555,['outputs/run-grasp-with-agent/_June09_17-21'],[]
12,4248,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,200,True,False,0.08345028530916254,0.08345028530916254,0.16294818707680703,0.056138933853583727,['outputs/run-grasp-with-agent/_June09_17-21'],[]
13,4248,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,200,True,False,0.08626356548878583,0.08623573058673488,0.4301300946507889,0.32982681683444326,['outputs/run-grasp-with-agent/_June09_17-21'],[]
14,4248,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,200,False,False,0.10109995215106578,0.09900269693302778,0.1504120142189781,0.04954685625595163,[],[]
15,4248,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,200,False,False,0.37056036274893867,0.10972825104378883,0.5616216023565013,0.5176994905533504,[],[]
16,4248,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,200,True,False,0.08946849926372369,0.08946849926372369,0.292869058343978,0.2101302279810078,['outputs/run-grasp-with-agent/_June09_17-21'],[]
17,4248,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,200,False,False,0.1397458579475936,0.10364704828499084,0.20788357553582265,0.13210140023823624,[],[]
18,4248,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,200,False,False,0.16215944209040342,0.1305356869617397,0.06833036825923094,0.06833036825923094,[],[]
