,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
1,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
2,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
3,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
4,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
5,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
6,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
7,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
8,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
9,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,100,,,,,,,,
10,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
11,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
12,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
13,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
14,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
15,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
16,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
17,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
18,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
19,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+wrist_depth,100,,,,,,,,
20,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
21,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
22,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
23,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
24,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
25,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
26,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
27,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
28,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
29,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
30,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
31,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
32,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
33,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
34,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
35,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
36,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
37,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
38,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
39,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
40,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,0,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.35806802481612005,0.20765598898324836,0.24340717647279914,0.12201850692020531,[],[]
41,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,1,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.15391081527968428,0.15229460261181213,0.31345768451445105,0.31345768451445105,[],[]
42,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,2,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.07035332164784551,0.07035332164784551,0.24482655312813623,0.12170346017002816,[],[]
43,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,3,wrist+l_shoulder+r_shoulder+wrist_depth,100,True,False,0.09658180481137284,0.09658180481137284,0.3186690021656406,0.24231871147377473,['outputs/run-grasp-with-agent/_June08_14-23'],[]
44,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,4,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.0683686432423606,0.0683686432423606,0.06640694916433365,0.06398319923204962,[],[]
45,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,5,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.3878504865580098,0.0961510985074214,0.3816595817529045,0.380700783630537,[],[]
46,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,6,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.1672872670509726,0.12461236898092101,0.32729037048148585,0.13557251153414385,[],[]
47,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,7,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.22919491977071577,0.10917354153178592,0.3283507439935198,0.06793194934955153,[],[]
48,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,8,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.07879600845073932,0.07824675122107826,0.06496489785734264,0.06297837522430799,[],[]
49,6689,FuseConfig.W_D_L_R_FILM,False,Vision_Random,9,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.355638787494779,0.21566490152741755,0.29617217005751695,0.29617217005751695,[],[]
50,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
51,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
52,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
53,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
54,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
55,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
56,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
57,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
58,6689,FuseConfig.W_D_L_R_FILM,True,Vision_Random,,wrist,200,,,,,,,,
