,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,1901,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,100,1,0,0.28847351375279223,0.22577653055912691,0.3102629064654977,0.36480442258275314
2,1901,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist,200,,,,,,
6,1901,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,200,1,0,0.2715628958735865,0.24175235354101643,0.2749648183024177,0.34588506209243297
7,1901,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist,600,,,,,,
11,1901,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,600,0,0,0.27096870306960125,0.23963277812288725,0.3048483644230343,0.3469331466079964
12,1901,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
15,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist,1000,,,,,,
16,1901,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.37374608896622724,0.37374608896622724,0.38483291097137096,0.38483291097137096
17,1901,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
18,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
19,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,,,,,,
20,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist,2000,,,,,,
21,1901,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,0,0,0.28692424419114204,0.22135353450988013,0.2855330094213672,0.35208582101779423
22,1901,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
23,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
24,1901,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,,,,,,
