,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.2931392505457624,0.17172257043080735,0.18107864831248227,0.3366092396975099
4,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.2659163123698888,0.10711428083870775,0.14004422907296957,0.24687594793180975
5,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.1838296981341036,0.10082565867596019,0.1300725923242287,0.23554947194455944
9,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.22148103247826914,0.14394039834845995,0.1693278542429958,0.24482574371440666
10,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,1,0,0.28605974836345316,0.16916374753088453,0.17731133341943128,0.2146318650951362
14,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.37272197996557555,0.23661026170836016,0.17612910283026748,0.25656988340939363
15,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0,0,0.23644234815483553,0.14189616932743765,0.15985405483045662,0.2336229343712389
19,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.22462291979486654,0.13398241992445756,0.16555422763335556,0.2438885028756781
20,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0,0,0.23936056456884303,0.13725418883459967,0.17240544717269762,0.25122946176175587
24,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.23782822242799861,0.1682105047753754,0.1847941980974108,0.27009698900025364
