,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.3152968949789742,0.1946907663093982,0.22435489664639624,0.33484235528266804
2,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.7105743621870223,0.3899599988965599,0.49762266402189315,0.8104192888818516
5,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.3513413457610387,0.1592763253064089,0.17114123990344213,0.3540618532748348
7,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.33445746442130636,0.21379973180225345,0.21072773960011623,0.3328659126773114
10,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.21233617836763402,0.1524102843175545,0.1810327315895532,0.29719935471972747
12,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.29109986209773764,0.14781398686104946,0.1538888123270863,0.2390292547361243
15,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.2720590521429197,0.14807836237256738,0.16795118875125956,0.36159648563485325
17,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,2,0,0.22812480235674193,0.1336749753133815,0.162412941713611,0.26268397389751763
20,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.30424258817566036,0.2299356977344625,0.21311107986844458,0.288499490003959
22,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.31979810043296175,0.20148906679319573,0.19769033378655826,0.3098531732479502
