,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.W_D_L_R_FILM,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0,0.21625584388090408,0.1273828498845459,0.15233922142931128,0.26777138278785506
5,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.W_D_L_R_FILM,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.23167466836367073,0.17189244878547466,0.14906255864682788,0.20197644098277406
10,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.W_D_L_R_FILM,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1,0,0.31905841165133614,0.13060569246410741,0.23647949152871645,0.3138957731750154
15,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.W_D_L_R_FILM,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.41235389377579124,0.41235389377579124,0.43223108570146185,0.43223108570146185
20,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.W_D_L_R_FILM,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.5656641145262533,0.3717086823487927,0.5755814654772454,0.8950188766703724
