,Unnamed: 0,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,0,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist,100,1.0,0.0,0.3135835539592456,0.1590312636590566,0.2167016779358047,0.4109537619208657
1,1,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.340910050231031,0.2053180212921236,0.1972563128368337,0.3353808304486229
2,2,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,100,0.0,0.0,0.3941833145111793,0.231022663386082,0.586662271773934,1.1655432655982207
3,3,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,1.0,0.0,0.2429442094524971,0.1263406388264168,0.1935340080425198,0.2999436265395593
4,4,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.3114815127113918,0.2224900635631808,0.1570693565210187,0.2511143531937997
5,5,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist,200,0.0,0.0,0.271313374557429,0.1231482339060823,0.1652156786936002,0.317646660888406
6,6,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2578209552468853,0.2007770152291515,0.2825441764475406,0.3522314977026323
7,7,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,200,1.0,0.0,0.396799792700135,0.2348645556066544,0.5834788211356053,1.1371082197835798
8,8,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.2678860719676412,0.1998184070514839,0.1688754276216038,0.2076068342883391
9,9,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.2817082966963357,0.1489134110310882,0.173441562955595,0.305145711912698
10,10,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist,400,0.0,1.0,0.3874258859500484,0.3454449334361846,0.3155393661334414,0.3322844568169222
11,11,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.319644979282042,0.1833675112973259,0.1873991999812117,0.3919501655233706
12,12,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,400,0.0,1.0,0.2626726216365281,0.2006295013972094,0.4045022289169669,0.5696976039956064
13,13,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,0.0,0.0,0.4758469505370057,0.300946685203211,0.4793378678460055,0.7151478526145137
14,14,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.3163796978810054,0.1800435857065611,0.2471161648790403,0.3553933027261802
15,15,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist,600,0.0,0.0,0.3082992021818754,0.2888711960804053,0.3711114573918862,0.3917191635118272
16,16,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2758739009256912,0.1799856400931064,0.2495288580608514,0.3834501995114595
17,17,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,600,0.0,0.0,0.661577727107595,0.3558883859487491,0.5626700594381894,0.8852680499010844
18,18,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0.0,0.0,0.3597533514408284,0.2351294015152002,0.3144125819387562,0.4680807963535659
19,19,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.3186983234742723,0.1637382851447989,0.2018109380344606,0.2958833145861803
20,20,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist,800,0.0,1.0,0.409163303160915,0.2107315175608393,0.2106220683939519,0.424261625804083
21,21,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.2478785978416145,0.17850844856414,0.237002152818322,0.3834497035098133
22,22,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,800,0.0,0.0,0.3045716696353584,0.2937626153390661,0.577768277957148,0.8162891952423914
23,23,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0.0,0.0,0.4069395527767602,0.247481621792856,0.2263860181520454,0.3777519728984089
24,24,3790,FuseConfig.WDLR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.24744451168495,0.2240953586389968,0.235357698343085,0.2702429470522801
25,1,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.3152968949789742,0.1946907663093982,0.2243548966463962,0.334842355282668
26,4,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.7105743621870223,0.3899599988965599,0.4976226640218931,0.8104192888818516
27,6,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.3513413457610387,0.1592763253064089,0.1711412399034421,0.3540618532748348
28,9,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.3344574644213063,0.2137997318022534,0.2107277396001162,0.3328659126773114
29,11,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.212336178367634,0.1524102843175545,0.1810327315895532,0.2971993547197274
30,14,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.2910998620977376,0.1478139868610494,0.1538888123270863,0.2390292547361243
31,16,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2720590521429197,0.1480783623725673,0.1679511887512595,0.3615964856348532
32,19,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,2.0,0.0,0.2281248023567419,0.1336749753133815,0.162412941713611,0.2626839738975176
33,21,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.3042425881756603,0.2299356977344625,0.2131110798684445,0.288499490003959
34,24,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.3197981004329617,0.2014890667931957,0.1976903337865582,0.3098531732479502
35,1,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.301073351458138,0.1874123145725353,0.2010367003667795,0.3177900916428565
36,4,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.3420858707445673,0.2398073251869949,0.2086921832520472,0.2785693374005701
37,6,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2420386973359501,0.1655944626426497,0.2439708411109014,0.3123004253557411
38,9,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.2493828113580612,0.1789162055665976,0.1676510954088601,0.2523011334910744
39,11,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.2064338656649157,0.1542325543252614,0.19179548082734,0.2953550497150969
40,14,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.2850752687512744,0.1610674710916385,0.3876553193923127,0.4080903565800521
41,16,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.3053154984275591,0.1846073374724736,0.1704070240705502,0.2940117505571463
42,19,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.7162069081556848,0.2813318617651109,0.2482006502150817,0.7047689479851074
43,21,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.3466982364263854,0.2605897371030875,0.293667725652316,0.3762671932071231
44,24,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.2613536654064013,0.1718447208418958,0.1472658500049512,0.2440692177833431
45,1,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.2919171012326697,0.1958698134200845,0.1942021649516468,0.3056988092714568
46,4,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.3008282508545595,0.2213662992670661,0.2424338696594155,0.3331593641891013
47,6,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2859094843056545,0.1837248059193211,0.172599010439469,0.3141481713115331
48,9,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.3945979181315133,0.3029531670377534,0.2225292159100121,0.3011069952664733
49,11,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.3220856160677485,0.1844977379429903,0.1970124415194321,0.3712262193319114
50,14,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.2825484318674348,0.2116755710214944,0.2058613237636663,0.2445035238086408
51,16,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.3223314280241252,0.1868630508802512,0.2714813574677002,0.4383247257713008
52,19,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.2596200490917455,0.1710404894580432,0.1373396078006849,0.240007358215122
53,21,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.4589947000547273,0.2221035136182975,0.2890932705457694,0.5097562860224298
54,24,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,1.0,0.3887952894595693,0.2703016270053281,0.2356713925296397,0.3325979189068649
55,4,3790,FuseConfig.WD_LR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,3.0,1.0,0.1816109571765428,0.121661082881987,0.2365773371785703,0.2905503586952839
56,9,3790,FuseConfig.WD_LR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,2.0,0.0,0.1842664398613481,0.1087983927729185,0.1688534090553733,0.372934439585427
57,14,3790,FuseConfig.WD_LR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.256587356528192,0.1999857343224451,0.2637970743572404,0.4108399656479237
58,19,3790,FuseConfig.WD_LR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.3042721945612982,0.1913447447890032,0.1760126759339018,0.2842217826664316
59,24,3790,FuseConfig.WD_LR,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.2911680396439114,0.1464610659284195,0.1819684958546624,0.3413698962600101
60,4,3790,FuseConfig.WD_LR_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.6408738596601073,0.5208004983337766,0.5800758082037296,0.7143980233279302
61,9,3790,FuseConfig.WD_LR_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.3118362841402322,0.1906634102827596,0.1610883952785229,0.2675069555970134
62,14,3790,FuseConfig.WD_LR_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.3874470865508341,0.3874470865508341,0.3857504756629982,0.3857504756629982
63,19,3790,FuseConfig.WD_LR_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,1.0,0.0,0.2318825605627335,0.1632248479203422,0.2120335546314424,0.3065726621493868
64,24,3790,FuseConfig.WD_LR_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.5022909310579957,0.2357255895600521,0.3174981839910032,0.6111530787171392
65,1,3790,FuseConfig.Wfilm_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.2047989952210568,0.119633396539687,0.1290279575021825,0.2535889100090299
66,6,3790,FuseConfig.Wfilm_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,1.0,0.0,0.2274630334840388,0.1209655869205506,0.176566069344742,0.3262951232673263
67,11,3790,FuseConfig.Wfilm_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.2657791434771073,0.1612844542718326,0.1583027419479465,0.2363634428723355
68,16,3790,FuseConfig.Wfilm_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2845575643513976,0.1802294230663372,0.1650406142722564,0.2748683312219005
69,21,3790,FuseConfig.Wfilm_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,2.0,0.0,0.2746839643398319,0.1909064208351945,0.212549521842866,0.3525085899592103
70,1,3790,FuseConfig.W_Dfilm,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.2756837815827895,0.1700692378992259,0.212557683359147,0.3279963245036802
71,6,3790,FuseConfig.W_Dfilm,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2970355807107104,0.1806095174914033,0.2173591514055883,0.3128896520691302
72,11,3790,FuseConfig.W_Dfilm,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.3054751152375321,0.1816565279481576,0.1957483474525811,0.2891850693039144
73,16,3790,FuseConfig.W_Dfilm,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,1.0,0.0,0.1750410198933722,0.1496049273007436,0.1875230130667826,0.313732064771158
74,21,3790,FuseConfig.W_Dfilm,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,2.0,0.0,0.2508552548774492,0.1927177458087264,0.2360952161211253,0.4099501849721292
