,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.WD_LR,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.34951007783610366,0.2657291475224654,0.36385508571433234,0.4240414864296723
5,3790,FuseConfig.WD_LR,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.19772323040649806,0.1372398293268034,0.1381034573843145,0.19457917977028522
10,3790,FuseConfig.WD_LR,True,Vision_Random,wrist,600,,,,,,
11,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,600,,,,,,
12,3790,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,1,0,0.148329809857941,0.1054066995006439,0.13512842159436916,0.21239476201724927
15,3790,FuseConfig.WD_LR,True,Vision_Random,wrist,800,,,,,,
16,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,800,,,,,,
17,3790,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,3790,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.24647561882925534,0.14309915178591293,0.13780988455782592,0.22102670640666502
