,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.WLR_D,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,100,0,0,0.1519827416916924,0.1257677779456738,0.24285358754237132,0.2961883959114183
2,6689,FuseConfig.WLR_D,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.WLR_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.18422829287308048,0.13146588001853093,0.15631028622610751,0.18598003302095112
5,6689,FuseConfig.WLR_D,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,200,3,0,0.17915958954263442,0.17845985781887302,0.26473133891229284,0.26560884543300667
7,6689,FuseConfig.WLR_D,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.WLR_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.2015772213637029,0.11886191898032664,0.1417774303239944,0.18725850425441887
10,6689,FuseConfig.WLR_D,True,Vision_Random,wrist,600,,,,,,
11,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,600,4,0,0.196201018495386,0.1802523621249082,0.3138915930111962,0.3447824797334744
12,6689,FuseConfig.WLR_D,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,6689,FuseConfig.WLR_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.14561529975933324,0.1260672633026245,0.19824375922284568,0.19879433213194656
15,6689,FuseConfig.WLR_D,True,Vision_Random,wrist,800,,,,,,
16,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,800,2,0,0.10632901659643264,0.09937556482876395,0.20168477531534043,0.23004274596806867
17,6689,FuseConfig.WLR_D,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,6689,FuseConfig.WLR_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,6689,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.16655854271682605,0.11892135953264989,0.1852719229147431,0.23670396185831036
