,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,100,0,0,0.2021772028704671,0.15715857861657306,0.24833839350119638,0.2544985465490098
2,6689,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,200,0,0,0.32283398635954924,0.24018174480821863,0.30103731491077607,0.35182719183911504
7,6689,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist,600,,,,,,
11,6689,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,600,1,0,0.14082782757738402,0.10645607289076968,0.27432051760790155,0.29537474024315247
12,6689,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
15,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist,800,,,,,,
16,6689,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,800,0,0,0.30333798498113757,0.2170182164757656,0.29727190969413,0.33465739576278436
17,6689,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,6689,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
