,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,400,,,,,,
1,3790,FuseConfig.WLR_D,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,1,0,0.18500733417498344,0.14723500818060611,0.22175600958308256,0.24030346177908896
2,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
3,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
4,3790,FuseConfig.WLR_D,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1,0,0.21660257633677285,0.14322041641924693,0.15440679269528954,0.21805610843140624
5,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,400,,,,,,
6,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,2,0,0.206972688895707,0.1298677099780843,0.21644413414462718,0.318183246135778
7,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
8,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
9,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.26843451379773564,0.1329837556896779,0.16719587108369333,0.27331539572550045
10,3790,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,4,0,0.1913328666699503,0.146667163511574,0.22637538490854361,0.3072342197432031
12,3790,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2,0,0.21278676686048303,0.1086105924885096,0.13719839466483033,0.20978457583746826
15,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,400,,,,,,
16,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
17,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.15394945323992637,0.11534452404589295,0.1585398689947351,0.19362453051446596
20,3790,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,400,,,,,,
21,3790,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
22,3790,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
23,3790,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
24,3790,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,3,0,0.1447713746907412,0.10528073661610222,0.1242915991395741,0.20058763554154138
25,1901,FuseConfig.WLR_D,,True,Vision_Random,wrist,400,,,,,,
26,1901,FuseConfig.WLR_D,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,2,0,0.1520999502320896,0.12288746700266447,0.24609258652482607,0.3132567343983291
27,1901,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
28,1901,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
29,1901,FuseConfig.WLR_D,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2,0,0.19800803010330587,0.11222323617134296,0.17071175155851345,0.25131759141279053
30,1901,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,400,,,,,,
31,1901,FuseConfig.DEPTH_FEATS_GATED,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.16394952006214367,0.13801204608915124,0.24678944718956303,0.30591807365078677
32,1901,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
33,1901,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
34,1901,FuseConfig.DEPTH_FEATS_GATED,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2,0,0.18173607541456804,0.11753606596488606,0.15112306551310878,0.1908935633317514
35,1901,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,400,,,,,,
36,1901,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,1,0,0.17850305615820777,0.14084002861565542,0.24711628469395666,0.28020187417569026
