,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
1,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
2,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
3,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
4,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
5,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
6,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
7,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
8,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
9,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist,100,,,,,,,,
10,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.3591321482861837,0.16615163150666187,0.34661892554012846,0.17271095755111218,[],[]
11,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.4101562647355179,0.3963128849996963,0.15292878753963662,0.15292878753963662,[],[]
12,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.0657835174422782,0.0490799123986636,0.3475535751590983,0.3475535751590983,"['outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04']",[]
13,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,3,wrist+wrist_depth,100,False,False,0.4533837238617968,0.30676221303623635,0.3952518237715046,0.17918383294982976,[],[]
14,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.06780404190917978,0.06780395627555337,0.3281152219590195,0.2844600762785798,"['outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04', 'outputs/run-grasp-with-agent/_June10_03-04']",[]
15,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.520226022188496,0.47898686753903885,0.26121578137476464,0.15498785551736358,[],[]
16,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.40427135593045993,0.16359687135991327,0.12780353651278636,0.1260560205689856,[],[]
17,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,7,wrist+wrist_depth,100,False,True,0.2613500709991152,0.09789824553389767,0.1402987225516576,0.1402987225516576,[],['outputs/run-grasp-with-agent/_June10_03-04']
18,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,8,wrist+wrist_depth,100,True,False,0.07454692701966717,0.07454692701966717,0.1480202433592788,0.1480202433592788,['outputs/run-grasp-with-agent/_June10_03-04'],[]
19,4248,FuseConfig.W_Dfilm_LATE,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.46561426324502764,0.4235367272345865,0.554056404768908,0.26813235146079234,[],[]
20,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
21,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
22,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
23,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
24,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
25,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
26,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
27,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
28,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
29,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
30,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
31,4248,FuseConfig.W_Dfilm_LATE,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
