,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.3398836728474337,0.20751317585347923,0.19871588315383149,0.31980496716282547
5,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.18977939718130254,0.12463643005885963,0.15398536730778725,0.24799194596646695
10,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1,0,0.18074203411853423,0.1341729074992756,0.11343513324191087,0.18825330183280534
15,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.1673718730631058,0.1451240326932362,0.11523047595832117,0.16401227114579284
20,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,3790,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.1829664198664907,0.08940893354396663,0.1376112229848392,0.216736778119805
