,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,6689,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.20132018314064193,0.1280908335010949,0.18724178024771085,0.2142569251139456
5,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,6689,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.22128221516637522,0.14155234204671543,0.23550354933469064,0.32044491685804427
10,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,400,,,,,,
11,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,6689,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.1935076053934029,0.12351337035702319,0.20535914430982777,0.27842207809955705
15,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,600,,,,,,
16,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,6689,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.2803877270335992,0.14716223245476792,0.1911546917253993,0.3201099877563016
20,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist,800,,,,,,
21,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,6689,FuseConfig.WD_LR_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,6689,FuseConfig.WD_LR_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.350163863140623,0.2198585377658787,0.24979545470689332,0.3578744855789014
