,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,6689,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.18819437877059136,0.18129912613112026,0.13036182168266242,0.1634545010457854
4,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,1,0.13736926581354791,0.09391095186089048,0.1112043671159639,0.16503866555648034
5,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,6689,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.22599773911441906,0.13847335438969952,0.1429538298926717,0.18182781725063563
9,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.15868446121086022,0.1261706001559298,0.15009015728908653,0.20107422398332023
10,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,400,,,,,,
11,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,6689,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,0,0,0.1712782560580478,0.11226194481657262,0.1568719317255397,0.21908539182362025
14,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.16351120816835035,0.12246316987461592,0.11157274545116036,0.17543036175093824
15,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,600,,,,,,
16,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,6689,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0,0,0.2057439929208849,0.1314243814523975,0.1406910278539007,0.18626313578550394
19,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.17166081924432147,0.1326454853783223,0.11626233198787213,0.15186548958994797
20,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,800,,,,,,
21,6689,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,6689,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0,0,0.16486047181360908,0.0741287282821371,0.1278123339584447,0.18404684746852434
24,6689,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.16484315409272862,0.1205559044011991,0.13500478879954825,0.18943328304688703
