,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.W_D_L_R_FILM,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.18184629893099755,0.14152213736934843,0.10983340900905152,0.13923215941258177
5,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.W_D_L_R_FILM,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,1,0.18503902097944175,0.13369322006129875,0.1437412658840236,0.1995422421245428
10,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.W_D_L_R_FILM,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.2530004075327053,0.15631148435827588,0.21670149183169984,0.28749946600631143
15,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.W_D_L_R_FILM,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.15064392718227337,0.12409161111074027,0.14479797229451535,0.21186370813977834
20,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.W_D_L_R_FILM,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.W_D_L_R_FILM,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.19469829752864332,0.11802697372540935,0.11251575830983326,0.16961336540902833
