,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist,100,,,,,,
1,7653,FuseConfig.W_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.3894213524594163,0.1972741086236583,0.18796331964457166,0.30365193143101055
2,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist,200,,,,,,
6,7653,FuseConfig.W_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.34413010733255095,0.22834971518610928,0.2122694719078293,0.3026541644470675
7,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist,400,,,,,,
11,7653,FuseConfig.W_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.33091949125037035,0.20095605865010838,0.17289627214780987,0.3010436129181274
12,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,,,,,,
15,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist,600,,,,,,
16,7653,FuseConfig.W_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.31408501746940737,0.1995051247662699,0.16357438622706938,0.27460257682161343
17,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
20,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist,800,,,,,,
21,7653,FuseConfig.W_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.26684464445938877,0.16717869183403541,0.16268756372972862,0.24454189582380356
22,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,7653,FuseConfig.W_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
