,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.Wfilm_Dfilm,fusing_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.3417786472524083,0.28526947891186977,0.17905984668701683,0.1991321234304874
2,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.Wfilm_Dfilm,fusing_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.2681614013541741,0.20915717621258093,0.1347969174683607,0.15994263665952554
7,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.Wfilm_Dfilm,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,2,0.3267714265480978,0.2611651416749888,0.18334895535300452,0.19390950941828428
12,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,,,,,,
15,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.Wfilm_Dfilm,fusing_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.3316891997914844,0.2979099688537084,0.15218003251511958,0.16932912703313868
17,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
20,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.Wfilm_Dfilm,fusing_policy,False,Vision_Random,wrist+wrist_depth,800,0,2,0.3000709614515486,0.24584400935413675,0.24317373485181615,0.2622019186604047
22,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.Wfilm_Dfilm,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
