,rep,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
1,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
2,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
3,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
4,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
5,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
6,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
7,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
8,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
9,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist,100,,,,,,,,
10,4,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.3922544806197873,0.3922544806197873,0.05127997506235383,0.04873184453447627,[],[]
11,4,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.4585199764684892,0.4585199764684892,0.14054237987335774,0.14054237987335774,[],[]
12,4,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.5477764117232403,0.5477764117232403,0.1638965536612614,0.06063666719874503,[],[]
13,4,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,100,False,False,0.35124061409682444,0.35124061409682444,0.25796658444215576,0.20576484237771508,[],[]
14,4,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,100,True,False,0.08310183326472376,0.08310183326472376,0.1895339896387319,0.18871389675525913,['outputs/run-grasp-with-agent/_June07_14-03'],[]
15,4,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.3799757733817216,0.3799757733817216,0.16101020109253975,0.14578101156433002,[],[]
16,4,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.16073006029918885,0.16073006029918885,0.1979257478577424,0.1859975675640012,[],[]
17,4,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,100,False,False,0.43078580793525606,0.39485327595002295,0.24273911405444074,0.13299536808086274,[],[]
18,4,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,100,False,False,0.38603198376247655,0.38603198376247655,0.11448617463664526,0.11448617463664526,[],[]
19,4,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.08194004095391202,0.08194004095391202,0.1997086901795037,0.1997086901795037,[],[]
20,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
21,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
22,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
23,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
24,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
25,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
26,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
27,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
28,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
29,4,FuseConfig.Wfilm_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
30,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
31,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
32,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
33,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
34,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
35,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
36,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
37,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
38,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
39,4,FuseConfig.Wfilm_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
40,4,FuseConfig.Wfilm_D,True,Vision_Random,0,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.5197526994271254,0.5009212816056281,0.25457740723773065,0.25457740723773065,[],[]
