,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,100,,,,,,
1,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,100,0,0,0.23059852200764128,0.21738720784668408,0.12671956731811243,0.17603619632374787
2,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,3,0,0.17684860008603415,0.14302283457689513,0.12440157486260262,0.22623720042054005
5,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,150,,,,,,
6,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,150,3,0,0.16597830279018688,0.14119319942754643,0.12146042477091248,0.18546183414772693
7,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,3,2,0.21163427628457004,0.14943557939502217,0.11473088982119495,0.23454794977541388
10,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,200,,,,,,
11,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,200,1,0,0.2022360704236541,0.18566400681087208,0.12387076952666246,0.18498197953165416
12,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,1,0.23157154224848644,0.1880761281256596,0.11622441646319015,0.20450734561455636
15,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,400,,,,,,
16,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,400,0,0,0.2972204319072861,0.27975459564020977,0.129077735928279,0.17649302643926548
17,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2,0,0.19904839858850382,0.13394609404818508,0.10912033596121744,0.2014844075091129
20,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,500,,,,,,
21,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,500,7,0,0.15338780480462372,0.14435885007649152,0.12429013508521207,0.17901169264207395
22,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,3,0,0.135640413548125,0.10538298172898783,0.11627486293610936,0.23619868060849591
25,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,1000,,,,,,
26,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,1000,1,0,0.12003680988911496,0.11544017004714772,0.11704472591247365,0.18937737972277685
27,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,1,2,0.19508823704241232,0.14981955441876985,0.11450878225642261,0.2040951629831143
30,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist,2000,,,,,,
31,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,2000,2,0,0.2427420965949921,0.20864903942436436,0.12289171774982724,0.20169243439014303
32,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,0,FuseConfig.DEPTH_FEATS_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,3,0,0.14947329036803494,0.10232975332184883,0.10763411701416706,0.26233906874331875
