,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,100,,,,,,
1,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,100,1,0,0.12984673147613898,0.115590733469852,0.12472461698171818,0.19410127966444188
2,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0,0.15064854750708523,0.1395095437880824,0.12353069974999183,0.1474273762630021
5,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,150,,,,,,
6,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,150,0,0,0.13411709694948198,0.11005377049262036,0.11957982650439547,0.19359930487389304
7,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0,0,0.133064086044702,0.11202009200332182,0.10796825571496513,0.1371725712203621
10,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,200,,,,,,
11,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,200,1,0,0.125557234717864,0.09074506917770048,0.12085509875521472,0.1975658901050218
12,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,2,0,0.14153410510352868,0.09641953503125625,0.11582476599177996,0.30370124745721905
15,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,400,,,,,,
16,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,400,0,0,0.09580624408259696,0.08375013956386684,0.12059553973062598,0.20889651689558408
17,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.17203860287112993,0.1365809676676168,0.12635427425158702,0.22536518670525796
20,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,500,,,,,,
21,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,500,1,0,0.14408728914565763,0.11568670988429279,0.12456670065904714,0.19369344307313976
22,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1,0,0.11428812261430513,0.10349002675868839,0.13390109982659787,0.2369994148412858
25,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,1000,,,,,,
26,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.12265405842748836,0.09672001705365979,0.12944479160903097,0.23623271622836386
27,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0,0.11367822335340864,0.10016194689721163,0.11593249621238107,0.22908136117727057
30,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,2000,,,,,,
31,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,2000,2,0,0.17646280398253708,0.10427084957456015,0.1192279809351015,0.21733982041750005
32,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,4,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,4,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,1,0,0.15180719796214273,0.08313720167800634,0.11268115732033819,0.21948249731954292
