,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3,FuseConfig.WDLR,False,Vision_Random,wrist,100,0,0,0.1898399398798391,0.1573941235268526,0.13629801908749398,0.24755332433297567
1,3,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,100,0,0,0.15549859255541287,0.14912433495115537,0.12781172476813868,0.24907428808103899
2,3,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,100,1,0,0.1921423906560792,0.18296584741842525,0.26711891078665373,0.3990358773853303
3,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,2,0,0.1322411343833592,0.11245093180494092,0.1879900973741743,0.3182484675368239
4,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,2,1,0.15387757519408213,0.1359510555494529,0.13584881728771223,0.24574707519988515
5,3,FuseConfig.WDLR,False,Vision_Random,wrist,150,0,0,0.17939360241374475,0.13349444169950692,0.12697747730531111,0.23223844652488976
6,3,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,150,0,0,0.12144168829549402,0.09909136920116725,0.12893078325811075,0.24689294961448266
7,3,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,150,1,0,0.16295963335097483,0.1541259428093746,0.13934250405073392,0.18119014914013562
8,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,150,1,0,0.1362652629854349,0.10599421300466447,0.12039259593044108,0.21554760052536656
9,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,1,0,0.12521276965448352,0.09324311107925679,0.12386743498682178,0.1897835603763737
10,3,FuseConfig.WDLR,False,Vision_Random,wrist,200,0,0,0.15280418509887814,0.10284427487302432,0.12215086991688409,0.19419789226911938
11,3,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,200,1,0,0.09085873631048914,0.08569291348211339,0.12165675681087165,0.22003779874921894
12,3,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,200,1,0,0.19197832754833732,0.17767299641680673,0.18269921349353907,0.23219814226523786
13,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,4,0,0.12068743325045268,0.08198391517476282,0.13744034267855673,0.23115839542726588
14,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.22283091906962665,0.11155253583245306,0.14534691078948742,0.3114182789627325
15,3,FuseConfig.WDLR,False,Vision_Random,wrist,400,0,0,0.1569734783145921,0.11797769963881255,0.1304561989559403,0.22509599363439553
16,3,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,400,1,0,0.12964188512302732,0.12408893785862993,0.1296092527008388,0.20690781032285166
17,3,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,400,3,0,0.13163133430918825,0.1275211008957277,0.17591987418327404,0.2391355524459497
18,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,6,0,0.11491199272471261,0.09966796778230759,0.11454229798267601,0.18615804310356993
19,3,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1,0,0.13273709547470505,0.09170269819784616,0.13066641132959275,0.2229264164177064
20,3,FuseConfig.WDLR,False,Vision_Random,wrist,500,0,0,0.19183996108609017,0.10111341212214238,0.13166423724298087,0.22731957734273775
21,3,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,500,1,0,0.13050749640046938,0.11646066277446035,0.11666615710376274,0.20868101533577396
22,3,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,500,1,0,0.18166528725322953,0.16091551234420604,0.14534844422120802,0.18424226537667593
