,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3,FuseConfig.WD_LR,True,Vision_Random,wrist,100,,,,,,
1,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.1154671773528739,0.11050970076459762,0.17390888614127742,0.2642392760830793
5,3,FuseConfig.WD_LR,True,Vision_Random,wrist,150,,,,,,
6,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,150,,,,,,
7,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0,0,0.10557688065906264,0.10320718323781128,0.16751707163901097,0.24952160089345093
10,3,FuseConfig.WD_LR,True,Vision_Random,wrist,200,,,,,,
11,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,200,,,,,,
12,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.1639318556485275,0.13554545498742895,0.15019751050581462,0.21993398779047388
15,3,FuseConfig.WD_LR,True,Vision_Random,wrist,400,,,,,,
16,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,400,,,,,,
17,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.11383705858141964,0.10446318078652679,0.12764502182909768,0.2048305275098632
20,3,FuseConfig.WD_LR,True,Vision_Random,wrist,500,,,,,,
21,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,500,,,,,,
22,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1,0,0.11411909042602039,0.09850372251124828,0.11753110476428212,0.16296826150859212
25,3,FuseConfig.WD_LR,True,Vision_Random,wrist,1000,,,,,,
26,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,1000,,,,,,
27,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0,0.13126617558887593,0.08872375442756164,0.12210595563618343,0.2601309862815424
30,3,FuseConfig.WD_LR,True,Vision_Random,wrist,2000,,,,,,
31,3,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,2000,,,,,,
32,3,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,3,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,3,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0,0,0.18849835278614158,0.11573224807075284,0.126178687504821,0.2921467257335981
