,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0,0,0.40085724110054377,0.3983554310162381,0.2723064417616652,0.27358714280429014
2,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.13713753312792673,0.13357531593522737,0.1636120627524052,0.1709583141000836
5,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,150,,,,,,
6,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,150,1,0,0.144756559437307,0.1413123235504923,0.18817997785388127,0.1882661051544861
7,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,3,0,0.20620495915722423,0.16115165524089467,0.12103323054052854,0.18820414241724942
10,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,200,,,,,,
11,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,200,3,0,0.12044324102583696,0.11155941806749128,0.12219061919065728,0.19761871722192725
12,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.13913342847271276,0.10371391873725333,0.14474422567425227,0.31778000861300876
15,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,400,,,,,,
16,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,400,1,0,0.3307261001316726,0.33052504413347233,0.26294656056506305,0.26294656056506305
17,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.4081385300073169,0.4020473108922464,0.18395589284934108,0.18395589284934108
20,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,500,,,,,,
21,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,500,0,0,0.3093286248892862,0.30822985782042145,0.28950318152259147,0.2928009688113399
22,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1,0,0.29147880149078714,0.29147880149078714,0.2278049271800957,0.2278049271800957
25,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,1000,,,,,,
26,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,4,0,0.14087307906617594,0.13028582767035188,0.12642795076065735,0.21113513864003383
27,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,3,3,0.1373516462167556,0.11220016878299666,0.1271066431164704,0.1818272662495129
30,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist,2000,,,,,,
31,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,1,0,0.15962166452066223,0.14838839815231175,0.13623689288971333,0.2302741569233306
32,4,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,4,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,4,FuseConfig.W_Dfilm,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0,0,0.5997292934902776,0.5973283731731371,0.3167668050420982,0.31816251992879735
