,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,100,,,,,,
1,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,100,1,0,0.19545895200591573,0.17199902339130016,0.13589913972591222,0.2776306299243562
2,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.2006326670224902,0.15542713044436154,0.1267694759941818,0.21439672550278271
5,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,150,,,,,,
6,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,150,0,0,0.4418602918308109,0.39112253620338083,0.24541224122472322,0.28554726043009215
7,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0,0,0.23603391863756612,0.14260469318349195,0.137917189042834,0.18410074054503345
10,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,200,,,,,,
11,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,200,0,0,0.330868571932683,0.1253605051083684,0.13972057021819734,0.29129825496458384
12,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.41773552960282895,0.3925453903108004,0.22300201021645152,0.24716439264743975
15,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,400,,,,,,
16,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,400,0,0,0.30135762059152543,0.2907380246801639,0.20039880099307844,0.20647408366208603
17,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2,0,0.1877807419822433,0.18757742784754144,0.16266139239813554,0.2306211145719556
20,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,500,,,,,,
21,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,500,0,0,0.47859756267764963,0.4126780781145397,0.22659379117428916,0.34570956745352127
22,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1,0,0.21940564633503962,0.185266711148716,0.1403117296378745,0.19241362811027773
25,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,1000,,,,,,
26,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.2737321057408177,0.21882811190280166,0.13092984793232582,0.1683279430156996
27,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,1,0,0.2017131421679809,0.1648981445733792,0.12368345917111831,0.23357046952649269
30,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist,2000,,,,,,
31,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,2000,0,0,0.23282227774259884,0.17087391727117676,0.12558609402021667,0.24800145023835793
32,3,FuseConfig.Wfilm_D,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,3,FuseConfig.Wfilm_D,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,3,FuseConfig.Wfilm_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0,0,0.4721186780137863,0.3907147362744014,0.14700242614598136,0.1667999389487283
