,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,100,1,0,0.2957750367898966,0.295158536878055,0.21867031749555546,0.21978305162079242
2,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.20134591668382376,0.1545535002794181,0.13995884836816988,0.26672179280804165
5,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,150,,,,,,
6,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,150,2,0,0.15486864113797558,0.14966442628127524,0.1336805074090156,0.3599912713057609
7,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0,0,0.3081326485857424,0.2830738074404523,0.138630815613147,0.22235455985147148
10,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,200,,,,,,
11,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,200,0,0,0.24289893609673996,0.24214031653323667,0.1358215651738924,0.19908721330609544
12,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,3,0,0.17651164498248756,0.15435607559999467,0.12022074368754562,0.20451555409486014
15,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,400,,,,,,
16,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,400,2,1,0.19480554143117673,0.14777178662258544,0.12272204300775977,0.25649200810640416
17,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,3,0,0.16282321956418846,0.1279352447413024,0.127033938581679,0.20379066451096212
20,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,500,,,,,,
21,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,500,1,0,0.18424259199879703,0.1726541509493215,0.13580022240855763,0.2023583384486009
22,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1,0,0.23107497580672845,0.2120210834652859,0.12456007168758224,0.2008071624950114
25,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,1000,,,,,,
26,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.2177620179195438,0.1985551274639027,0.12539086650054052,0.2124165869531661
27,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0,0.33295565983283826,0.28596632623856844,0.13361920023276452,0.14991936968599276
30,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,2000,,,,,,
31,2,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,0,0,0.2283772289025053,0.16889447157904033,0.12340241451734461,0.18548039565707292
32,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,2,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,6,0,0.12163468485029941,0.10094734625200678,0.11904018129407494,0.20304222303571015
