,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
0,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,True,0.09497760970640547,0.09497760970640547,97,['outputs/run-grasp-with-agent/_May17_19-20']
1,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,True,0.11038085934144067,0.11038085934144067,97,['outputs/run-grasp-with-agent/_May17_19-20']
2,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.4433248873354837,0.36545400916129256,97,[]
3,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.40329906358415435,0.40329906358415435,97,[]
4,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,True,0.0904716158306412,0.0904716158306412,97,['outputs/run-grasp-with-agent/_May17_19-20']
5,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,True,0.09633555168033965,0.09539430182675247,97,['outputs/run-grasp-with-agent/_May17_19-20']
6,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.420827795459722,0.39993377715300243,97,[]
7,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,True,0.11026692270895544,0.11026692270895544,97,['outputs/run-grasp-with-agent/_May17_19-20']
8,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.4569896569539948,0.41681887071003343,97,[]
9,Vision_Random,agent-policy:depth_grasp_policy-cams:wrist-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.34911564649611715,0.3416442545016453,97,[]
10,Vision_Random,agent-policy:depth_grasp_policy-cams:l_shoulder+r_shoulder-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,True,0.1170278362857033,0.11576762989670153,97,['outputs/run-grasp-with-agent/_May17_19-20']
11,Vision_Random,agent-policy:depth_grasp_policy-cams:l_shoulder+r_shoulder-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,True,0.09906514034717676,0.09593466757876279,97,['outputs/run-grasp-with-agent/_May17_19-20']
12,Vision_Random,agent-policy:depth_grasp_policy-cams:l_shoulder+r_shoulder-policy:depth_grasp_policy-config:depth_ch-opts:{'gated_fuse': None},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.1029732950769606,0.09196042441374855,97,"['outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20', 'outputs/run-grasp-with-agent/_May17_19-20']"
