epoch,minibatch_size,learning_rate,demo_count,task_name,final_dists,has_reached,final_dist_avg
200,32,0.005,1,ReachObs_RandomStatic,[0.38427599 0.41340252 0.76208635 1.03915951 0.42985677 0.2714162 0.08638331 1.20136115 0.42256895 0.90082394],[False False False False False False  True False False False],0.5911334689999999
200,32,0.005,5,ReachObs_RandomStatic,"[0.10386136 0.35421442 1.01294581 0.10861671 0.58935631 0.82202733 0.49681035 0.1684055  0.75943752 0.66855276]",[False False False False False False False False False False],0.5084228069999999
200,32,0.005,10,ReachObs_RandomStatic,"[0.94618624 0.49461628 0.3541936  0.35497002 0.70955014 0.75415123 0.36205366 0.48131246 0.5269161  0.35471958]",[False False False False False False False False False False],0.533866931
200,32,0.001,1,ReachObs_RandomStatic,"[1.08270945 0.6828559  0.31875461 0.12541409 0.51291676 0.42770223 0.51823193 0.57201401 0.18955582 0.15150345]",[False False False False False False False False False False],0.4581658249999999
200,32,0.001,5,ReachObs_RandomStatic,"[0.88375349 0.08003582 0.88962437 0.41842763 0.58982733 0.39149847 0.74976702 0.52122391 0.64505424 0.41009267]",[False False False False False False False False False False],0.557930495
200,32,0.001,10,ReachObs_RandomStatic,"[0.14796551 0.37468342 0.6001277  0.94333624 0.90703631 0.27535972 1.00775569 0.17725978 0.20658707 0.07513958]",[False False False False False False False False False  True],0.4715251020000001
200,32,0.0001,1,ReachObs_RandomStatic,"[0.62921048 0.49822363 0.73717514 0.1911069  0.40758742 0.20161234 0.31036172 0.6146072  0.08461791 0.65351128]",[False False False False False False False False  True False],0.4328014019999999
200,32,0.0001,5,ReachObs_RandomStatic,"[0.8265976  0.64752124 0.18473108 0.09541748 0.33714267 0.08185706 0.39627737 0.70661419 0.44212858 0.11351245]",[False False False False False  True False False False  True],0.383179972
200,32,0.0001,10,ReachObs_RandomStatic,"[0.7602004  0.56245823 0.13771665 0.09489192 0.31658963 0.41670344 0.38071535 0.49770998 0.21275618 0.06488456]",[False False False False False False False False False  True],0.344462634
200,64,0.005,1,ReachObs_RandomStatic,"[0.5846698  0.35062195 0.25771777 0.26515435 0.17922736 0.23477511 0.82306542 0.08354356 0.6423957  1.19979232]",[False False False False False False False  True False False],0.462096334
200,64,0.005,5,ReachObs_RandomStatic,"[0.68335035 0.61898769 0.58594143 0.15712137 0.17550588 0.73565001 0.71296154 0.30012747 0.48320316 0.07611775]",[False False False False False False False False False  True],0.452896665
200,64,0.005,10,ReachObs_RandomStatic,"[0.44347043 0.4121704  0.40339727 0.32144375 0.28001184 0.33449746 0.4046027  0.9288859  0.51089633 0.11418294]",[False False False False False False False False False  True],0.415355902
200,64,0.001,1,ReachObs_RandomStatic,"[0.62743635 0.13224022 0.10820193 0.07804975 0.42344721 0.63277891 1.20710605 0.67212521 0.66528834 0.65211032]",[False False False  True False False False False False False],0.519878429
200,64,0.001,5,ReachObs_RandomStatic,"[0.35015349 0.60238118 0.63764732 0.06739121 0.40773086 0.05949046 0.25170677 0.79429029 0.38998611 0.72486541]",[False False False  True False False False False False False],0.4285643099999999
