,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type,is_multi_cnn,lambda_attn,colour_pool,belows,aboves
0,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",2,0.33932819131350567,0.43293269801190715,demo,False,1,max,"[tensor([[0.0098, 0.3818, 0.6084]]), None, tensor([[0.0096, 0.0528, 0.9375]]), tensor([[0.0048, 0.0661, 0.9290]]), tensor([[0.0102, 0.0972, 0.8926]]), tensor([[0.0128, 0.2764, 0.7107]]), tensor([[0.0106, 0.0967, 0.8927]]), tensor([[0.5750, 0.1317, 0.2934]]), tensor([[0.3156, 0.4361, 0.2483]]), tensor([[0.0054, 0.1162, 0.8785]])]","[tensor([[0.2115, 0.1620, 0.6266]]), tensor([[0.4300, 0.1568, 0.4132]]), tensor([[0.1592, 0.0893, 0.7515]]), tensor([[0.0893, 0.1227, 0.7880]]), tensor([[0.0484, 0.0527, 0.8989]]), tensor([[0.2227, 0.1880, 0.5893]]), tensor([[0.0440, 0.0499, 0.9061]]), tensor([[0.2363, 0.0768, 0.6868]]), tensor([[0.4452, 0.2619, 0.2929]]), tensor([[0.0956, 0.1110, 0.7934]])]"
1,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",6,0.1299655662654417,0.15735349284335612,demo,False,5,max,"[tensor([[0.0920, 0.6521, 0.2559]]), tensor([[0.3876, 0.3137, 0.2987]]), tensor([[0.4170, 0.2631, 0.3199]]), tensor([[0.2383, 0.2121, 0.5495]]), tensor([[0.1512, 0.4206, 0.4283]]), tensor([[0.3994, 0.2592, 0.3414]]), tensor([[0.1293, 0.5521, 0.3187]]), tensor([[0.1498, 0.3799, 0.4703]]), tensor([[0.4504, 0.2896, 0.2600]]), tensor([[0.1405, 0.4865, 0.3730]])]","[tensor([[0.0660, 0.7723, 0.1617]]), tensor([[0.1606, 0.6612, 0.1783]]), tensor([[0.1831, 0.6463, 0.1707]]), tensor([[0.1382, 0.5966, 0.2652]]), tensor([[0.0477, 0.7183, 0.2340]]), tensor([[0.1807, 0.5916, 0.2276]]), tensor([[0.0632, 0.8087, 0.1281]]), tensor([[0.0458, 0.6262, 0.3280]]), tensor([[0.2077, 0.6273, 0.1651]]), tensor([[0.0654, 0.6675, 0.2671]])]"
2,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",7,0.2190348283233036,0.22531777978981257,demo,False,10,max,"[tensor([[0.1111, 0.6341, 0.2548]]), tensor([[0.3493, 0.2283, 0.4225]]), tensor([[0.3910, 0.2550, 0.3540]]), tensor([[0.3488, 0.1349, 0.5164]]), tensor([[0.1811, 0.2981, 0.5208]]), tensor([[0.3808, 0.2500, 0.3692]]), tensor([[0.1109, 0.5896, 0.2995]]), tensor([[0.2089, 0.2761, 0.5150]]), tensor([[0.4439, 0.2550, 0.3011]]), tensor([[0.1753, 0.3725, 0.4522]])]","[tensor([[0.0715, 0.7598, 0.1687]]), tensor([[0.1401, 0.6269, 0.2330]]), tensor([[0.1825, 0.6485, 0.1690]]), tensor([[0.1250, 0.5728, 0.3022]]), tensor([[0.0469, 0.6634, 0.2897]]), tensor([[0.1704, 0.6144, 0.2152]]), tensor([[0.0588, 0.7637, 0.1775]]), tensor([[0.0594, 0.6336, 0.3070]]), tensor([[0.1892, 0.6251, 0.1857]]), tensor([[0.0686, 0.6871, 0.2442]])]"
3,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",0,0.46937717907250687,0.641922970610697,demo,True,1,max,"[tensor([[0.2150, 0.1897, 0.5954]]), tensor([[0.3068, 0.2177, 0.4756]]), tensor([[0.3091, 0.1622, 0.5286]]), tensor([[0.1888, 0.0821, 0.7291]]), tensor([[0.0922, 0.2109, 0.6969]]), tensor([[0.1455, 0.0749, 0.7796]]), tensor([[0.2227, 0.2661, 0.5112]]), tensor([[0.2533, 0.1493, 0.5974]]), tensor([[0.1385, 0.0775, 0.7841]]), tensor([[0.1716, 0.0926, 0.7358]])]","[tensor([[0.1285, 0.3335, 0.5380]]), tensor([[0.1459, 0.4690, 0.3851]]), tensor([[0.1189, 0.4996, 0.3815]]), tensor([[0.0496, 0.4389, 0.5116]]), tensor([[0.0852, 0.2680, 0.6468]]), tensor([[0.1336, 0.2262, 0.6402]]), tensor([[0.1686, 0.3849, 0.4465]]), tensor([[0.0756, 0.5408, 0.3836]]), tensor([[0.1506, 0.1669, 0.6824]]), tensor([[0.0956, 0.3186, 0.5858]])]"
4,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",0,0.45806601787539797,0.5946915687752727,demo,True,5,max,"[tensor([[0.2071, 0.2053, 0.5877]]), tensor([[0.2648, 0.1545, 0.5807]]), tensor([[0.1743, 0.1826, 0.6432]]), tensor([[0.2018, 0.0685, 0.7298]]), tensor([[0.1237, 0.2360, 0.6403]]), tensor([[0.1563, 0.0803, 0.7635]]), tensor([[0.2937, 0.2710, 0.4353]]), tensor([[0.3398, 0.1827, 0.4774]]), tensor([[0.1339, 0.0775, 0.7886]]), tensor([[0.2390, 0.1301, 0.6309]])]","[tensor([[0.1369, 0.3591, 0.5040]]), tensor([[0.0913, 0.3828, 0.5260]]), tensor([[0.0783, 0.3978, 0.5239]]), tensor([[0.0505, 0.3731, 0.5764]]), tensor([[0.1115, 0.3485, 0.5400]]), tensor([[0.1303, 0.2222, 0.6475]]), tensor([[0.2145, 0.4774, 0.3081]]), tensor([[0.0642, 0.6454, 0.2905]]), tensor([[0.1417, 0.1744, 0.6838]]), tensor([[0.1370, 0.3815, 0.4815]])]"
5,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",0,0.4599127715753695,0.5702893410952101,demo,True,10,max,"[tensor([[0.1633, 0.1391, 0.6977]]), tensor([[0.2548, 0.1001, 0.6451]]), tensor([[0.3023, 0.1668, 0.5309]]), None, tensor([[0.0715, 0.1258, 0.8027]]), tensor([[0.1602, 0.0845, 0.7553]]), tensor([[0.2283, 0.1614, 0.6103]]), None, tensor([[0.1332, 0.0726, 0.7943]]), None]","[tensor([[0.1112, 0.3193, 0.5695]]), tensor([[0.0839, 0.4680, 0.4481]]), tensor([[0.1018, 0.4835, 0.4148]]), tensor([[0.0280, 0.1904, 0.7817]]), tensor([[0.0669, 0.2379, 0.6952]]), tensor([[0.1244, 0.2284, 0.6472]]), tensor([[0.1741, 0.3959, 0.4300]]), tensor([[0.0425, 0.3134, 0.6441]]), tensor([[0.1422, 0.1772, 0.6806]]), tensor([[0.1588, 0.3497, 0.4915]])]"
6,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",0,0.37472371199577886,0.38027650779096184,demo,False,1,max,"[tensor([[0.0754, 0.3520, 0.5726]]), tensor([[0.1611, 0.2609, 0.5780]]), tensor([[0.1659, 0.2826, 0.5516]]), None, None, None, tensor([[0.0267, 0.5975, 0.3758]]), None, tensor([[0.0787, 0.2023, 0.7190]]), tensor([[0.2281, 0.1506, 0.6213]])]","[tensor([[0.0224, 0.4042, 0.5733]]), tensor([[0.0590, 0.6099, 0.3311]]), tensor([[0.1005, 0.5763, 0.3232]]), tensor([[0.0307, 0.2973, 0.6719]]), tensor([[0.0227, 0.1472, 0.8301]]), tensor([[0.0846, 0.3212, 0.5942]]), tensor([[0.0182, 0.4979, 0.4839]]), tensor([[0.0686, 0.2056, 0.7258]]), tensor([[0.1278, 0.3509, 0.5213]]), tensor([[0.0267, 0.3813, 0.5921]])]"
7,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",2,0.38462751341953455,0.7374055557428946,demo,False,5,max,"[tensor([[0.3040, 0.4423, 0.2536]]), tensor([[0.6058, 0.1407, 0.2535]]), tensor([[0.3968, 0.1970, 0.4062]]), tensor([[0.4955, 0.1858, 0.3188]]), tensor([[0.4840, 0.2307, 0.2853]]), tensor([[0.6540, 0.1876, 0.1584]]), tensor([[0.2971, 0.3415, 0.3614]]), tensor([[0.2709, 0.5521, 0.1770]]), tensor([[0.5706, 0.1154, 0.3140]]), tensor([[0.0760, 0.5246, 0.3994]])]","[tensor([[0.2755, 0.2272, 0.4973]]), tensor([[0.3171, 0.1489, 0.5340]]), tensor([[0.2341, 0.1384, 0.6275]]), tensor([[0.3497, 0.1447, 0.5056]]), tensor([[0.3526, 0.2006, 0.4468]]), tensor([[0.4324, 0.1989, 0.3687]]), tensor([[0.2930, 0.2723, 0.4347]]), tensor([[0.2003, 0.2304, 0.5693]]), tensor([[0.3041, 0.1543, 0.5415]]), tensor([[0.1600, 0.1834, 0.6566]])]"
8,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",2,0.3882830357614494,0.7458274668757628,demo,False,10,max,"[tensor([[0.3057, 0.4885, 0.2058]]), tensor([[0.6541, 0.1285, 0.2174]]), tensor([[0.4631, 0.1738, 0.3631]]), tensor([[0.5697, 0.2019, 0.2283]]), tensor([[0.4477, 0.1947, 0.3576]]), tensor([[0.6062, 0.1592, 0.2346]]), tensor([[0.3099, 0.4094, 0.2806]]), tensor([[0.2811, 0.5399, 0.1790]]), tensor([[0.5349, 0.1210, 0.3442]]), tensor([[0.2854, 0.3695, 0.3451]])]","[tensor([[0.2535, 0.2893, 0.4572]]), tensor([[0.3736, 0.1746, 0.4518]]), tensor([[0.2479, 0.1598, 0.5923]]), tensor([[0.4101, 0.2113, 0.3786]]), tensor([[0.2869, 0.2312, 0.4819]]), tensor([[0.3900, 0.2276, 0.3824]]), tensor([[0.2850, 0.2958, 0.4191]]), tensor([[0.1774, 0.3237, 0.4989]]), tensor([[0.2548, 0.1798, 0.5654]]), tensor([[0.1855, 0.1640, 0.6506]])]"
9,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",2,0.30989861488065434,0.3198260497323998,demo,True,1,max,"[tensor([[0.0320, 0.0596, 0.9084]]), tensor([[0.0521, 0.6487, 0.2991]]), tensor([[0.0449, 0.6031, 0.3520]]), tensor([[0.0433, 0.6456, 0.3111]]), tensor([[0.0393, 0.4361, 0.5247]]), tensor([[0.0302, 0.2456, 0.7242]]), None, tensor([[0.0442, 0.1966, 0.7592]]), tensor([[0.0294, 0.2930, 0.6776]]), tensor([[0.0217, 0.2290, 0.7492]])]","[tensor([[0.5470, 0.0919, 0.3611]]), tensor([[0.1744, 0.3338, 0.4918]]), tensor([[0.1464, 0.2543, 0.5993]]), tensor([[0.1396, 0.2784, 0.5820]]), tensor([[0.2239, 0.1494, 0.6267]]), tensor([[0.4054, 0.1635, 0.4310]]), tensor([[0.4112, 0.0826, 0.5061]]), tensor([[0.4118, 0.1329, 0.4553]]), tensor([[0.3907, 0.1861, 0.4232]]), tensor([[0.3759, 0.1965, 0.4277]])]"
