,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type
0,ReachObs_Random,wrist,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4160220707796144,0.6354366621822913,obs
1,ReachObs_Random,wrist,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4375218765622019,0.8560582156209646,obs
2,ReachObs_Random,wrist,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4008061743651067,0.7122825750792713,obs
3,ReachObs_Random,wrist,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4259011275295167,0.7662420250438705,obs
4,ReachObs_Random,wrist,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4464386118190063,0.8615898628429793,obs
5,ReachObs_Random,wrist,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.443471064135504,0.7321919620304923,obs
6,ReachObs_Random,wrist,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4069204543216886,0.5782897709753557,obs
7,ReachObs_Random,l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3567063851391261,0.4154944589860798,obs
8,ReachObs_Random,l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.3104668460532165,0.4290359948779795,obs
9,ReachObs_Random,l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.2903422887658432,0.3739496207019722,obs
10,ReachObs_Random,l_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.1512110802386916,0.1611338905760551,obs
11,ReachObs_Random,l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1612768166483381,0.2090170780640519,obs
12,ReachObs_Random,l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.153630232991644,0.1643162484293339,obs
13,ReachObs_Random,l_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.2283706920221816,0.2960737556094726,obs
14,ReachObs_Random,r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3738332789843525,0.4564947329891,obs
15,ReachObs_Random,r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.1712726449469065,0.1802989206953425,obs
16,ReachObs_Random,r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.2661172102242712,0.3823325518745856,obs
17,ReachObs_Random,r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.1938077901353582,0.2294038165631574,obs
18,ReachObs_Random,r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.1871909206061012,0.244921086158973,obs
19,ReachObs_Random,r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.2764818385288001,0.4920536511427289,obs
20,ReachObs_Random,r_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.2814427949402888,0.3994724613637442,obs
21,ReachObs_Random,wrist+l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.1643633683352812,0.1902116503898657,obs
22,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3666259672555237,0.6942780431248701,obs
23,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3584370482695833,0.7345141176294028,obs
24,ReachObs_Random,wrist+l_shoulder+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.1469684868365817,0.1569473235819538,obs
25,ReachObs_Random,wrist+l_shoulder+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.2667904805345312,0.4854152858320285,obs
26,ReachObs_Random,wrist+l_shoulder+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4361039414422851,0.8324291013649224,obs
27,ReachObs_Random,wrist+l_shoulder+r_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3269528138856764,0.5171567917262474,obs
28,ReachObs_Random,wrist+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4697126616402717,0.7904806747736528,obs
29,ReachObs_Random,wrist+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4067543784075946,0.733995223802703,obs
30,ReachObs_Random,wrist+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3482575719576493,0.6043377129944105,obs
31,ReachObs_Random,wrist+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4031778949118891,0.7599189993065603,obs
32,ReachObs_Random,wrist+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4132791683146786,0.8209208042914404,obs
33,ReachObs_Random,wrist+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.3667367763594777,0.5541704489380889,obs
34,ReachObs_Random,wrist+r_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.34012789625051,0.546234874998136,obs
35,ReachObs_Random,wrist+l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.328610909755902,0.6325912432323342,obs
36,ReachObs_Random,wrist+l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3725187894817418,0.7453447466517913,obs
37,ReachObs_Random,wrist+l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4898633888251379,0.7591691879158529,obs
38,ReachObs_Random,wrist+l_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.3317544452363833,0.6374107210245472,obs
39,ReachObs_Random,wrist+l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.327063242148571,0.5983253033270739,obs
40,ReachObs_Random,wrist+l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3875836622698375,0.7380454342859324,obs
