epoch,minibatch_size,learning_rate,taskname,final_dist,min_dist
100,16,0.01,Central,0.1289195799334718,0.1289195799334718
100,16,0.01,Side Right,0.30189497344940264,0.20648676103730496
100,16,0.01,Side Left,0.08452333055639491,0.08452333055639491
100,16,0.005,Central,0.22337429537886833,0.22337429537886833
100,16,0.005,Side Right,0.9475735132267871,0.6603691805378522
100,16,0.005,Side Left,0.3921341244050521,0.3921341244050521
100,16,0.0025,Central,0.13562432452647644,0.13562432452647644
100,16,0.0025,Side Right,0.40015567406436653,0.38695813274117224
100,16,0.0025,Side Left,0.4680522973704497,0.4680522973704497
100,32,0.01,Central,0.1278175488890662,0.1278175488890662
100,32,0.01,Side Right,0.2956540952580775,0.20279634091554574
100,32,0.01,Side Left,0.11817785795632109,0.11817785795632109
100,32,0.005,Central,0.13715003208303006,0.13715003208303006
100,32,0.005,Side Right,0.4088228680913833,0.3809926600769432
100,32,0.005,Side Left,0.12801416912578634,0.12801416912578634
100,32,0.0025,Central,0.14349375331128392,0.14349375331128392
100,32,0.0025,Side Right,0.5520410889306921,0.5520410889306921
100,32,0.0025,Side Left,0.12107781567280404,0.12107781567280404
200,16,0.01,Central,0.46270967353186176,0.09580061970341398
200,16,0.01,Side Right,0.3486972147378952,0.25983600455746475
200,16,0.01,Side Left,0.12536233564034668,0.12536233564034668
200,16,0.005,Central,0.1311860154451803,0.1311860154451803
200,16,0.005,Side Right,0.3465551421737444,0.3465551421737444
200,16,0.005,Side Left,0.6330087549825596,0.614406433430708
200,16,0.0025,Central,0.23977538381367458,0.23977538381367458
200,16,0.0025,Side Right,0.2664596761052258,0.2664596761052258
200,16,0.0025,Side Left,0.49617871190885493,0.49617871190885493
200,32,0.01,Central,0.12265796048824333,0.12265796048824333
200,32,0.01,Side Right,0.12635373877201844,0.12635373877201844
200,32,0.01,Side Left,0.28401105977181845,0.07841741707444719
200,32,0.005,Central,0.12370313975771492,0.12370313975771492
200,32,0.005,Side Right,0.38274405911958564,0.3095482590312234
200,32,0.005,Side Left,0.28055180955739234,0.27589969389261293
200,32,0.0025,Central,0.12650216474536413,0.12650216474536413
200,32,0.0025,Side Right,0.3522720191290507,0.3522720191290507
200,32,0.0025,Side Left,0.4380491367074334,0.4380491367074334
