,Unnamed: 0,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,0,3790,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.2319616064015953,0.1872622727335019,0.302082978475587,0.2720878280792799,[],[]
1,1,3790,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.0815261574431742,0.0815261574431742,0.5207754675989141,0.5207754675989141,[],[]
2,2,3790,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,100,True,False,0.0945993203154807,0.0945993203154807,0.0709559978435694,0.0709405130616398,['outputs/run-grasp-with-agent/_June09_16-14'],[]
3,3,3790,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,100,False,False,0.220682209264588,0.1860553293645823,0.4168760478462726,0.3666734911827767,[],[]
4,4,3790,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.081976822063309,0.0794764855534883,0.0918420087069585,0.0918420087069585,[],[]
5,5,3790,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,100,True,False,0.0818551566511978,0.0809774967736809,0.5832114748419659,0.5761500618309159,['outputs/run-grasp-with-agent/_June09_16-14'],[]
6,6,3790,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.0795141728778962,0.0789326838704716,0.3169441368132453,0.2559810906492075,[],[]
7,7,3790,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,100,True,False,0.0790001022295141,0.0783172854636639,0.2585887780724804,0.1430168308677877,['outputs/run-grasp-with-agent/_June09_16-14'],[]
8,8,3790,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,100,False,False,0.0819422738737286,0.0806352697257774,0.0684186291128498,0.0682951949431373,[],[]
9,9,3790,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.4749361213450828,0.3929680033040951,0.551926645138648,0.5517306135851895,[],[]
10,10,3790,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,200,False,False,0.1984049326840729,0.164033658444942,0.2977312863947251,0.1748851105642045,[],[]
11,11,3790,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,200,False,False,0.1201636738972434,0.1201636738972434,0.4965206180866479,0.4470347991426021,[],[]
12,12,3790,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,200,False,False,0.1280990667810496,0.1258650048522306,0.1289852902432987,0.0489357388527458,[],[]
13,13,3790,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,200,False,False,0.090175086961878,0.082634218719701,0.4188353139318908,0.1888442651238735,[],[]
14,14,3790,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,200,False,False,0.0842447456376804,0.0839194714321102,0.0682967704058691,0.0682943312047082,[],[]
15,15,3790,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,200,False,False,0.4192496544786804,0.092874359336262,0.5513244252052555,0.5085123128324823,[],[]
16,16,3790,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,200,False,False,0.1076801066444582,0.0706902108537041,0.3320147755822813,0.2162170760482895,[],[]
17,17,3790,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,200,False,False,0.0937893774502003,0.0937893774502003,0.2546502889461333,0.086528204392237,[],[]
18,18,3790,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,200,False,False,0.1564771067648546,0.1564771067648546,0.0761631922794845,0.0761631922794845,[],[]
19,19,3790,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,200,False,False,0.4346075723497687,0.2283844207957547,0.5110928485701329,0.474555454244884,[],[]
20,20,3790,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,400,False,False,0.2080216705707148,0.126535164639619,0.3164760169439401,0.040064045769326,[],[]
21,21,3790,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,400,False,False,0.0848164456418847,0.0782001319710592,0.4736571104193651,0.4412078281010719,[],[]
22,22,3790,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,400,False,False,0.0798927465868372,0.0788970599497579,0.1873639585970954,0.05741341350416,[],[]
23,23,3790,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,400,False,False,0.0925602066946744,0.0829193877538111,0.4682532544859487,0.2879264383201221,[],[]
24,24,3790,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,400,False,False,0.0791789814511376,0.0785144904681373,0.2053912590018557,0.1815780116515829,[],[]
25,25,3790,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,400,False,False,0.0959405580150453,0.0810645297321326,0.528821558844312,0.4629333352253493,[],[]
26,26,3790,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,400,False,False,0.0943232580076957,0.0943232580076957,0.332616529387966,0.1599150118251921,[],[]
27,27,3790,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,400,False,False,0.1708600429878387,0.1409822102957067,0.3172126049145715,0.0426592865816985,[],[]
28,28,3790,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,400,False,False,0.2483391375455338,0.1900400259711267,0.0652512191825107,0.0652512191825107,[],[]
29,29,3790,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,400,False,False,0.4608038529554772,0.2645919388110421,0.4948003060115734,0.4382584708664747,[],[]
30,30,3790,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,600,False,False,0.2145121871820159,0.1527994068921617,0.2970407037619136,0.2041095309142708,[],[]
31,31,3790,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,600,False,False,0.1064764595137459,0.0790455291860571,0.4842716085239013,0.4814897557667764,[],[]
32,32,3790,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,600,True,False,0.0814425870275675,0.0813916912721792,0.0720051962978187,0.0489315712991908,['outputs/run-grasp-with-agent/_June09_16-18'],[]
33,33,3790,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,600,False,False,0.2808591905802097,0.0820582652474585,0.4020410042796701,0.2990562147396755,[],[]
34,34,3790,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,600,False,False,0.1697050310101012,0.119870694088973,0.0680238940389556,0.0680238940389556,[],[]
35,35,3790,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,600,False,False,0.3935301059065815,0.1284314648618377,0.5427395714124776,0.518802821649196,[],[]
36,36,3790,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,600,False,False,0.4684992159244107,0.095312219960182,0.3133322714303105,0.1950391105225809,[],[]
37,37,3790,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,600,False,False,0.1332157234236951,0.1285881110262437,0.0540477710924101,0.0454917882311931,[],[]
38,38,3790,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,600,False,False,0.1251253261059785,0.1095362985420064,0.0592765134790846,0.058053632483518,[],[]
39,39,3790,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,600,False,False,0.4519477196123852,0.3019356755849134,0.4807374084738809,0.4729361648369427,[],[]
40,40,3790,FuseConfig.Wfilm_D,False,Vision_Random,0,wrist+wrist_depth,800,False,False,0.2200178831818709,0.1747259507791615,0.3032817903476569,0.1825827849074022,[],[]
41,41,3790,FuseConfig.Wfilm_D,False,Vision_Random,1,wrist+wrist_depth,800,False,False,0.0739268706804475,0.0738009244476685,0.46267914361331,0.4333215474522517,[],[]
42,42,3790,FuseConfig.Wfilm_D,False,Vision_Random,2,wrist+wrist_depth,800,False,False,0.0851269375609085,0.079892480004865,0.0879855444575409,0.0498910060126676,[],[]
43,43,3790,FuseConfig.Wfilm_D,False,Vision_Random,3,wrist+wrist_depth,800,False,False,0.0896758673627889,0.0801301011417037,0.4636005888621279,0.2355085041891262,[],[]
44,44,3790,FuseConfig.Wfilm_D,False,Vision_Random,4,wrist+wrist_depth,800,False,False,0.143772334327858,0.0872483683052289,0.0682786464798176,0.0662181403960486,[],[]
45,45,3790,FuseConfig.Wfilm_D,False,Vision_Random,5,wrist+wrist_depth,800,False,False,0.3003114677580971,0.1214819568135593,0.5374936244511233,0.4889549296369536,[],[]
46,46,3790,FuseConfig.Wfilm_D,False,Vision_Random,6,wrist+wrist_depth,800,False,False,0.254898341648697,0.0970388612867128,0.3448160978499139,0.1902582123887597,[],[]
47,47,3790,FuseConfig.Wfilm_D,False,Vision_Random,7,wrist+wrist_depth,800,False,False,0.1311106250652303,0.1000154452497639,0.2925513926370788,0.0393964870293682,[],[]
48,48,3790,FuseConfig.Wfilm_D,False,Vision_Random,8,wrist+wrist_depth,800,False,False,0.1542759753665295,0.1484956279198427,0.0677558829020924,0.0673052528366212,[],[]
49,49,3790,FuseConfig.Wfilm_D,False,Vision_Random,9,wrist+wrist_depth,800,False,False,0.4450196563505301,0.2486323178403581,0.4978759669188004,0.4490526195430909,[],[]
50,0,3790,FuseConfig.W_Dfilm,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.3508806826545524,0.2553393639558889,0.3335132462295351,0.0411153779389728,[],[]
51,1,3790,FuseConfig.W_Dfilm,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.1284618792950815,0.1167538713470305,0.4187152996457478,0.3742446961784135,[],[]
52,2,3790,FuseConfig.W_Dfilm,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.3938139281202858,0.3744896451140964,0.1507762363808847,0.132709882005853,[],[]
53,3,3790,FuseConfig.W_Dfilm,False,Vision_Random,3,wrist+wrist_depth,100,False,False,0.0831379597550179,0.0807015525040705,0.4776315641207926,0.1489537247711563,[],[]
54,4,3790,FuseConfig.W_Dfilm,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.0773213457343015,0.0771601034410296,0.0739138269479462,0.0739138269479462,[],[]
55,5,3790,FuseConfig.W_Dfilm,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.1170908874355716,0.0752980443886163,0.5427097496546993,0.4619601384480104,[],[]
56,6,3790,FuseConfig.W_Dfilm,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.1346188293269307,0.0983964848494262,0.2181314701374537,0.0395701630592381,[],"['outputs/run-grasp-with-agent/_June09_16-20', 'outputs/run-grasp-with-agent/_June09_16-20', 'outputs/run-grasp-with-agent/_June09_16-20', 'outputs/run-grasp-with-agent/_June09_16-20']"
57,7,3790,FuseConfig.W_Dfilm,False,Vision_Random,7,wrist+wrist_depth,100,False,False,0.0981787641704642,0.0718238799265257,0.0579382585187707,0.0569617359694121,[],[]
58,8,3790,FuseConfig.W_Dfilm,False,Vision_Random,8,wrist+wrist_depth,100,False,False,0.1037784857188288,0.0912003346771487,0.0680632231886744,0.0680632231886744,[],[]
59,9,3790,FuseConfig.W_Dfilm,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.4761676727784903,0.3180751571110519,0.4826942751797449,0.4177904931040289,[],[]
60,10,3790,FuseConfig.W_Dfilm,False,Vision_Random,0,wrist+wrist_depth,200,False,False,0.2841608056409755,0.2001440331402943,0.0568413360974505,0.0515966389950268,[],[]
61,11,3790,FuseConfig.W_Dfilm,False,Vision_Random,1,wrist+wrist_depth,200,False,False,0.4740318284316297,0.4740318284316297,0.4742147174910306,0.4742147174910306,[],[]
62,12,3790,FuseConfig.W_Dfilm,False,Vision_Random,2,wrist+wrist_depth,200,False,False,0.542053672316241,0.542053672316241,0.0901147357850715,0.0600686982008288,[],[]
63,13,3790,FuseConfig.W_Dfilm,False,Vision_Random,3,wrist+wrist_depth,200,True,False,0.0999471554894488,0.0992718850857892,0.4299378796011799,0.3149330962457,['outputs/run-grasp-with-agent/_June09_16-21'],[]
64,14,3790,FuseConfig.W_Dfilm,False,Vision_Random,4,wrist+wrist_depth,200,False,False,0.1052090221426072,0.1052090221426072,0.3659102804930941,0.3659102804930941,[],[]
65,15,3790,FuseConfig.W_Dfilm,False,Vision_Random,5,wrist+wrist_depth,200,False,False,0.1256660438181453,0.1256660438181453,0.6223112706593344,0.6223112706593344,[],[]
66,16,3790,FuseConfig.W_Dfilm,False,Vision_Random,6,wrist+wrist_depth,200,False,False,0.1226135037898803,0.1226135037898803,0.1032696208622191,0.0487566405540126,[],[]
67,17,3790,FuseConfig.W_Dfilm,False,Vision_Random,7,wrist+wrist_depth,200,False,False,0.2510087598707277,0.2510087598707277,0.0535005070751234,0.0490443097450693,[],[]
68,18,3790,FuseConfig.W_Dfilm,False,Vision_Random,8,wrist+wrist_depth,200,False,False,0.2913581836599297,0.2913581836599297,0.2825169522303599,0.2825169522303599,[],[]
69,19,3790,FuseConfig.W_Dfilm,False,Vision_Random,9,wrist+wrist_depth,200,False,False,0.4603090288866026,0.4077177753019643,0.582834435180291,0.582834435180291,[],[]
70,20,3790,FuseConfig.W_Dfilm,False,Vision_Random,0,wrist+wrist_depth,400,False,False,0.2132129643419871,0.1851829453891785,0.3044586539664717,0.039093437167956,[],[]
71,21,3790,FuseConfig.W_Dfilm,False,Vision_Random,1,wrist+wrist_depth,400,False,False,0.4754203977461175,0.4754203977461175,0.5738613681585331,0.5738613681585331,[],[]
72,22,3790,FuseConfig.W_Dfilm,False,Vision_Random,2,wrist+wrist_depth,400,False,False,0.4755934588810603,0.4704309534582844,0.1706099928413541,0.1603812828576246,[],[]
73,23,3790,FuseConfig.W_Dfilm,False,Vision_Random,3,wrist+wrist_depth,400,False,False,0.1826641113138932,0.150646506565707,0.441496451171831,0.353841509294025,[],[]
74,24,3790,FuseConfig.W_Dfilm,False,Vision_Random,4,wrist+wrist_depth,400,False,False,0.3161221961141233,0.3161221961141233,0.297373522867117,0.297373522867117,[],[]
75,25,3790,FuseConfig.W_Dfilm,False,Vision_Random,5,wrist+wrist_depth,400,False,False,0.148857412326272,0.1197555918634472,0.6326336861833531,0.6288325495141951,[],[]
76,26,3790,FuseConfig.W_Dfilm,False,Vision_Random,6,wrist+wrist_depth,400,False,False,0.121234918574011,0.0803533199296519,0.3367883315575715,0.1618286458742471,[],[]
77,27,3790,FuseConfig.W_Dfilm,False,Vision_Random,7,wrist+wrist_depth,400,False,False,0.328144743807894,0.328144743807894,0.2996104864607217,0.0370604409782931,[],[]
78,28,3790,FuseConfig.W_Dfilm,False,Vision_Random,8,wrist+wrist_depth,400,False,False,0.1194313772680945,0.1194313772680945,0.2890433178152152,0.2890433178152152,[],[]
79,29,3790,FuseConfig.W_Dfilm,False,Vision_Random,9,wrist+wrist_depth,400,False,False,0.4869523974954283,0.4369104387072026,0.6057217117056072,0.6055714504578144,[],[]
80,30,3790,FuseConfig.W_Dfilm,False,Vision_Random,0,wrist+wrist_depth,600,False,False,0.4351944826224981,0.4116442720270162,0.3973989784961271,0.3886214262629316,[],[]
81,31,3790,FuseConfig.W_Dfilm,False,Vision_Random,1,wrist+wrist_depth,600,False,False,0.8977323703886859,0.7668426086369735,0.9241970424747392,0.7803731672597891,[],[]
82,32,3790,FuseConfig.W_Dfilm,False,Vision_Random,2,wrist+wrist_depth,600,False,False,0.8864854517265734,0.7757670963010113,0.3589798849354342,0.3589798849354342,[],[]
83,33,3790,FuseConfig.W_Dfilm,False,Vision_Random,3,wrist+wrist_depth,600,False,False,0.0806402062533126,0.0806176308170706,0.6941088797926758,0.5337227596275065,[],[]
84,34,3790,FuseConfig.W_Dfilm,False,Vision_Random,4,wrist+wrist_depth,600,False,False,0.2628810692544654,0.2375216807007904,0.7032606473427041,0.6484065453604141,[],[]
85,35,3790,FuseConfig.W_Dfilm,False,Vision_Random,5,wrist+wrist_depth,600,False,False,0.213152835208573,0.2038771726591458,0.9449229698384396,0.7654542225484878,[],[]
86,36,3790,FuseConfig.W_Dfilm,False,Vision_Random,6,wrist+wrist_depth,600,False,False,0.1447493882283795,0.1233315731561457,0.4581363657821609,0.385101026844759,[],[]
87,37,3790,FuseConfig.W_Dfilm,False,Vision_Random,7,wrist+wrist_depth,600,False,False,0.4119563571664782,0.4119563571664782,0.3215318190679986,0.3215318190679986,[],[]
88,38,3790,FuseConfig.W_Dfilm,False,Vision_Random,8,wrist+wrist_depth,600,False,False,0.6279927593065241,0.6279927593065241,0.6712629951556536,0.6026102083220908,[],[]
89,39,3790,FuseConfig.W_Dfilm,False,Vision_Random,9,wrist+wrist_depth,600,False,False,0.6983949123763186,0.5462128343321555,0.9457612877624392,0.7828416186744247,[],[]
90,40,3790,FuseConfig.W_Dfilm,False,Vision_Random,0,wrist+wrist_depth,800,False,False,0.1847466835274098,0.1847466835274098,0.2893713785037659,0.0617089421961588,[],[]
91,41,3790,FuseConfig.W_Dfilm,False,Vision_Random,1,wrist+wrist_depth,800,False,False,0.6451230752853635,0.6451230752853635,0.5797901141616411,0.5797901141616411,[],[]
92,42,3790,FuseConfig.W_Dfilm,False,Vision_Random,2,wrist+wrist_depth,800,False,False,0.4078428607355406,0.4078428607355406,0.0935625726651384,0.0935625726651384,[],[]
93,43,3790,FuseConfig.W_Dfilm,False,Vision_Random,3,wrist+wrist_depth,800,False,False,0.3147807459570259,0.1147961039316292,0.4739606573072792,0.3668347187512653,[],[]
94,44,3790,FuseConfig.W_Dfilm,False,Vision_Random,4,wrist+wrist_depth,800,False,False,0.4282644842634311,0.4162049935845516,0.3031821401723613,0.3031821401723613,[],[]
95,45,3790,FuseConfig.W_Dfilm,False,Vision_Random,5,wrist+wrist_depth,800,False,False,0.122749651554268,0.1214834829939291,0.5563537543434863,0.5563537543434863,[],[]
96,46,3790,FuseConfig.W_Dfilm,False,Vision_Random,6,wrist+wrist_depth,800,True,False,0.0877043992198625,0.0877043992198625,0.2820647125515837,0.176111936760341,['outputs/run-grasp-with-agent/_June09_16-25'],[]
97,47,3790,FuseConfig.W_Dfilm,False,Vision_Random,7,wrist+wrist_depth,800,False,False,0.2444530771926394,0.2444530771926394,0.2615579730140812,0.0612592171050102,[],[]
98,48,3790,FuseConfig.W_Dfilm,False,Vision_Random,8,wrist+wrist_depth,800,False,False,0.2731074034247525,0.2731074034247525,0.3668444637212555,0.3668444637212555,[],[]
99,49,3790,FuseConfig.W_Dfilm,False,Vision_Random,9,wrist+wrist_depth,800,False,False,0.4684311662008067,0.3674094238672168,0.5868513181136609,0.5868513181136609,[],[]
100,0,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.2190542733972009,0.1670140943999561,0.3144354044915236,0.2257879603508929,[],[]
101,1,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.3290761284628925,0.3290761284628925,0.5082187153579407,0.4987649948209615,[],[]
102,2,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.1593577589480406,0.1593577589480406,0.1127111706181766,0.0505319038101842,[],[]
103,3,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,3,wrist+wrist_depth,100,True,False,0.083761432472767,0.0806131173889719,0.4516216500452091,0.3691943901262276,['outputs/run-grasp-with-agent/_June09_16-26'],[]
104,4,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.0807759920154787,0.0786424448491645,0.2106747216488418,0.2106747216488418,[],[]
105,5,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.389925892782142,0.0967103681230462,0.5794197290070825,0.54655660475917,[],[]
106,6,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.0759884340227863,0.0759884340227863,0.3687680249848617,0.2081644943270723,[],[]
107,7,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,7,wrist+wrist_depth,100,False,False,0.0792155388942696,0.0790887502952905,0.1474462588996355,0.1233434845710484,[],[]
