,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0,0,0.2825324495524801,0.20832608926259008,0.31757393336108763,0.37940681016916533
2,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,200,1,0,0.2923333285141848,0.20924666725356608,0.2760288033229255,0.33175708993733266
7,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,600,,,,,,
11,6689,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,600,1,0,0.17472102875702913,0.10753158353737555,0.23840892479156942,0.27981462618159225
12,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
15,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,1000,,,,,,
16,6689,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.2701655639064094,0.21723946522782764,0.3265876464226797,0.36224378018705367
17,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
18,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
19,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,,,,,,
20,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,2000,,,,,,
21,6689,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,3,0,0.22126494431242083,0.19127693799142756,0.3121178579768976,0.35946773457466247
22,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
23,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
24,6689,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,,,,,,
