,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.29609675211365466,0.20777040496924237,0.16821230353162586,0.2727820515134648
2,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.256651663788138,0.16855764696339046,0.19763562445472987,0.27844312833034146
5,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.312462099371452,0.18567304271967885,0.19204155576335627,0.30641393420732993
7,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.312136697703021,0.17620432857081098,0.20704232032520972,0.3624213666038361
10,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.36977766500900566,0.26423038924521747,0.22110194628868415,0.3105137944865647
12,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.2754130171984653,0.19397482289353604,0.16804905511707363,0.2848522781984181
15,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.35007989959730396,0.17566271475604017,0.16793235095445788,0.23127962009883318
17,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,1,0,0.26988715050379974,0.15910848414695153,0.2028027138493746,0.3011258047396894
20,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.5405984504716674,0.28422896468203857,0.2949554724887794,0.546993551260521
22,3790,FuseConfig.WLR_D,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.WLR_D,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.WLR_D,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,1,0,0.309828860857391,0.15331729720055148,0.1810683816137793,0.3198777472315796
