,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.30107335145813807,0.18741231457253535,0.20103670036677954,0.31779009164285654
2,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.34208587074456737,0.23980732518699494,0.20869218325204725,0.2785693374005701
5,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.24203869733595015,0.16559446264264974,0.24397084111090148,0.3123004253557411
7,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.24938281135806123,0.17891620556659765,0.1676510954088601,0.2523011334910744
10,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.20643386566491576,0.15423255432526148,0.19179548082734002,0.2953550497150969
12,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.2850752687512744,0.1610674710916385,0.3876553193923127,0.4080903565800521
15,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.3053154984275591,0.18460733747247365,0.17040702407055025,0.29401175055714635
17,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.7162069081556848,0.28133186176511094,0.2482006502150817,0.7047689479851074
20,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.3466982364263854,0.2605897371030875,0.293667725652316,0.37626719320712315
22,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.DEPTH_FEATS_GATED,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.DEPTH_FEATS_GATED,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.26135366540640137,0.17184472084189584,0.14726585000495124,0.24406921778334315
