,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.2884783832059793,0.17131844504945287,0.3858720997610606,0.5210294442521098
4,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.37027806147259545,0.303518688504677,0.3502663698331982,0.3821527648307814
5,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.25856611851030276,0.18079589982221536,0.14868520265323742,0.22731210274990749
9,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.17016832832864845,0.12942753031319243,0.1822484790177587,0.2956638589805931
10,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,2,0,0.2419095358118744,0.22489803733074226,0.22139915313453645,0.22239598926752846
14,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.28579743685632975,0.1726240825901947,0.19942013292088695,0.3316363471255236
15,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0,0,0.30046579175172694,0.2594696272654874,0.39884887335895897,0.4355870037284023
19,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,2,0,0.19437649829958137,0.13279433099419788,0.21666516467580638,0.2775683972450412
20,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,3790,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,1,0,0.25206293088725956,0.21186369929318866,0.5580590760355124,0.7684644716838923
24,3790,FuseConfig.W_D_L_R,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.2758296305681097,0.14943295147311092,0.14071814228336074,0.29526131719245036
