,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist,100,,,,,,
1,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,4248,FuseConfig.W_D_L_R,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.1941551574599899,0.16250880671319767,0.2572336076122489,0.2572336076122489
4,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.11164667237503786,0.09850247186365677,0.1649893943874045,0.21027738713807348
5,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist,200,,,,,,
6,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,4248,FuseConfig.W_D_L_R,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.22953690190183945,0.22087783129328806,0.42416190513280083,0.42552100027754103
9,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.14673030215676947,0.11944814555157732,0.23266482459378354,0.3253510915238248
10,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist,600,,,,,,
11,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist+wrist_depth,600,,,,,,
12,4248,FuseConfig.W_D_L_R,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,1,0,0.1581382878758963,0.12748552843710226,0.20503565476352198,0.20732321523285732
14,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.11618177618260746,0.0941162805297546,0.17618726874766644,0.21745687198566094
15,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist,800,,,,,,
16,4248,FuseConfig.W_D_L_R,True,Vision_Random,wrist+wrist_depth,800,,,,,,
17,4248,FuseConfig.W_D_L_R,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0,0,0.12608256090974038,0.10012224432171332,0.1493915788731544,0.2269818107627933
19,4248,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,1,0,0.12251306392033308,0.10381022194196945,0.17551683942917068,0.24420266776371619
