,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.W_D_L_R_ATTN,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,100,0,0,0.28564633074885115,0.1801994539440842,0.1670633374172449,0.2774977036715867
2,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,100,0,0,0.22805582169691707,0.2199161601111069,0.2039830800850896,0.2111423668783763
3,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.23319695180360173,0.2275840884114432,0.2126879157556934,0.21754398477114414
4,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.23370999160908376,0.22835614895566386,0.21294263100908392,0.21765427530340387
5,3790,FuseConfig.W_D_L_R_ATTN,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,200,0,0,0.23019578051957962,0.22352554896479743,0.20885441809516822,0.2142976390286087
7,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,200,0,0,0.23241221298004971,0.22671360104772004,0.2120352738995678,0.2172782005132876
8,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.22933047998549952,0.22226137018285982,0.2071149424693432,0.21387845060022492
9,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.22868429117889338,0.220838068909995,0.2054675474844665,0.21173719466652102
10,3790,FuseConfig.W_D_L_R_ATTN,True,Vision_Random,wrist,600,,,,,,
11,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,600,0,0,0.22786371613042133,0.22012845900470893,0.20523747170161158,0.2118645355176299
12,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,600,0,0,0.23206103520871446,0.22591058456483393,0.2107972066003092,0.2167537147265323
13,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0,0,0.23490796253299412,0.228772182597247,0.21403810764797537,0.2205328343964546
14,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.23122993866149746,0.2256588364311956,0.21046843325099637,0.21602598362964015
15,3790,FuseConfig.W_D_L_R_ATTN,True,Vision_Random,wrist,800,,,,,,
16,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,800,0,0,0.23563027262137606,0.23103211002964366,0.21676755776589784,0.2212355521921241
17,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,800,0,0,0.22903853386317613,0.22216621087475202,0.20684719033174348,0.21348114245316205
18,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0,0,0.268707186948175,0.18172726124965927,0.16753342573563723,0.26800877083394037
19,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.22711836488095685,0.21872306583358941,0.20279555562696072,0.21018606648201046
