,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist,100,,,,,,
1,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,4248,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0,0.12407294899309462,0.10926638001135096,0.3638081599096162,0.37290755880745874
5,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist,200,,,,,,
6,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,4248,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.2205044545538236,0.1707748853756807,0.1837486770229573,0.20795569858906426
10,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist,600,,,,,,
11,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+wrist_depth,600,,,,,,
12,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,4248,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.15726683178130965,0.10478877854151622,0.13642219860873578,0.24610878345502646
15,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist,800,,,,,,
16,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+wrist_depth,800,,,,,,
17,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,4248,FuseConfig.W_D_L_R_FILM,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,4248,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.1690695580183072,0.13760715224035983,0.17290156767093912,0.20521068643920176
