,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,7653,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0,0,0.33410489463616383,0.25954846361554973,0.35818544394165563,0.3761440464349389
2,7653,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist,200,,,,,,
6,7653,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,200,1,0,0.3070148173873288,0.19655500853518704,0.15698273020366416,0.2092993578590907
7,7653,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist,600,,,,,,
11,7653,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,600,0,0,0.27799157678197306,0.2671221819739248,0.32497926782243713,0.3720342906128137
12,7653,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
15,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist,800,,,,,,
16,7653,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,800,0,0,0.4602151018189483,0.42927099872336366,0.5102687385475507,0.5225400584261976
17,7653,FuseConfig.W_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,7653,FuseConfig.W_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
