,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0,0,0.3469350250520516,0.18961938958494046,0.15608158370724007,0.333217358075601
2,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,200,1,0,0.28052636056338043,0.1898985100932993,0.2854330102143513,0.38309771333694875
7,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,600,,,,,,
11,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,600,2,0,0.18552250657794128,0.13596012099201998,0.27664822997142063,0.3552722323860844
12,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
13,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
14,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
15,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist,800,,,,,,
16,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,800,1,0,0.23983002382619428,0.17115331019760535,0.25885348037217687,0.2754927093696835
17,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
18,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
19,3790,FuseConfig.Wfilm_Dfilm,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
