,Unnamed: 0,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,0,3790,FuseConfig.WDLR,False,Vision_Random,0.0,wrist,100,False,False,0.291536043300572,0.1701133873298794,0.2232220255660792,0.1146879825249289,[],[]
1,1,3790,FuseConfig.WDLR,False,Vision_Random,1.0,wrist,100,False,False,0.066210140988911,0.0643262610598427,0.082228763692481,0.0813380158081586,[],[]
2,2,3790,FuseConfig.WDLR,False,Vision_Random,2.0,wrist,100,False,False,0.06689020569363,0.06689020569363,0.0836470832289702,0.079914786130276,[],[]
3,3,3790,FuseConfig.WDLR,False,Vision_Random,3.0,wrist,100,False,False,0.0726874988098291,0.0651849812570773,0.0890352233970563,0.0834061270068379,[],[]
4,4,3790,FuseConfig.WDLR,False,Vision_Random,4.0,wrist,100,False,False,0.0711878597190948,0.0711878597190948,0.0821790905488509,0.0818409721732502,[],[]
5,5,3790,FuseConfig.WDLR,False,Vision_Random,5.0,wrist,100,False,False,0.540641217533457,0.4816882910484938,0.1339626957977987,0.1339578452735357,[],[]
6,6,3790,FuseConfig.WDLR,False,Vision_Random,6.0,wrist,100,False,False,0.3313998493164297,0.1895772805225814,0.0900862996424972,0.0753243354338283,[],[]
7,7,3790,FuseConfig.WDLR,False,Vision_Random,7.0,wrist,100,False,False,0.2786064775314657,0.0386011195936602,0.0681511921770053,0.0681511921770053,[],[]
8,8,3790,FuseConfig.WDLR,False,Vision_Random,8.0,wrist,100,False,False,0.0665339467331493,0.0648539517909813,0.0803265382048521,0.0796771707214871,[],[]
9,9,3790,FuseConfig.WDLR,False,Vision_Random,9.0,wrist,100,False,False,0.0676132569831621,0.0648536722932173,0.4185214203612032,0.2779260237101029,[],[]
10,10,3790,FuseConfig.WDLR,False,Vision_Random,0.0,wrist+wrist_depth,100,False,False,0.4152060803041544,0.3937408418038406,0.396954499797362,0.3842571008740741,[],[]
11,11,3790,FuseConfig.WDLR,False,Vision_Random,1.0,wrist+wrist_depth,100,False,False,0.4604027067341013,0.4604027067341013,0.3736442152286875,0.3717069251548594,[],[]
12,12,3790,FuseConfig.WDLR,False,Vision_Random,2.0,wrist+wrist_depth,100,False,False,0.2382682169797715,0.2379195792911825,0.1583539114099106,0.1583539114099106,[],[]
13,13,3790,FuseConfig.WDLR,False,Vision_Random,3.0,wrist+wrist_depth,100,False,False,0.0799492173645668,0.0655167162198923,0.2955869553228907,0.1412297749403306,[],[]
14,14,3790,FuseConfig.WDLR,False,Vision_Random,4.0,wrist+wrist_depth,100,False,False,0.3617806341170921,0.3617806341170921,0.4314010252929566,0.4180877083603508,[],[]
15,15,3790,FuseConfig.WDLR,False,Vision_Random,5.0,wrist+wrist_depth,100,False,False,0.5373980689576239,0.5337095277149613,0.2428560570381051,0.1690120736267554,[],[]
16,16,3790,FuseConfig.WDLR,False,Vision_Random,6.0,wrist+wrist_depth,100,False,False,0.3596696205809122,0.2940865970560807,0.1505246917209612,0.1408442251575913,[],[]
17,17,3790,FuseConfig.WDLR,False,Vision_Random,7.0,wrist+wrist_depth,100,False,False,0.3522940245293161,0.3337846677605214,0.2283394642005413,0.2283394642005413,[],[]
18,18,3790,FuseConfig.WDLR,False,Vision_Random,8.0,wrist+wrist_depth,100,False,False,0.2242891408376543,0.2242891408376543,0.3320691285012591,0.3320691285012591,[],[]
19,19,3790,FuseConfig.WDLR,False,Vision_Random,9.0,wrist+wrist_depth,100,False,False,0.4152456004247093,0.3614905380634757,0.4222112891676372,0.3695178005681275,[],[]
20,20,3790,FuseConfig.WDLR,False,Vision_Random,0.0,l_shoulder+r_shoulder,100,False,False,0.1186045778606609,0.1074352172913975,0.1481997446632163,0.1445368586602634,"['outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48']","['outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48']"
21,21,3790,FuseConfig.WDLR,False,Vision_Random,1.0,l_shoulder+r_shoulder,100,False,False,0.1027997461608335,0.100628725419581,0.1431904251735496,0.1415111385083869,"['outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48']","['outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48']"
22,22,3790,FuseConfig.WDLR,False,Vision_Random,2.0,l_shoulder+r_shoulder,100,False,False,0.289130225516494,0.1329971221564127,0.2187141266004974,0.2072591217943117,[],"['outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48', 'outputs/run-grasp-with-agent/_June09_20-48']"
