,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,100,,,,,,
1,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.32502245192163,0.2504475523234023,0.17848469481456478,0.23094323385957966
2,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.3142131521807022,0.23053693254425006,0.22566057658809582,0.3295994683251524
5,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,200,,,,,,
6,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.343078897329379,0.22422254893425056,0.19923302051716144,0.3004709024559129
7,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.2524878713266201,0.13093879955555632,0.22488648280830076,0.30102640375348055
10,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,400,,,,,,
11,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.33339417813043826,0.26952634686152305,0.23863142395303755,0.2762593830112866
12,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.32142201795140246,0.17556121090779847,0.1889988775622244,0.30608716755746157
15,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,600,,,,,,
16,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,600,0,2,0.2675385431310587,0.17649746382846765,0.17680285328963313,0.2217798718154028
17,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.2404106816067466,0.1500740239509168,0.21812763653868766,0.3063176644751381
20,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist,800,,,,,,
21,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.3032863907657056,0.2490481840485248,0.18832280559672293,0.23424919225164925
22,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,6689,FuseConfig.DEPTH_FEATS_ATTN,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,6689,FuseConfig.DEPTH_FEATS_ATTN,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.26674315701447837,0.14530728185091263,0.18018511814859647,0.23969284248412395
