,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist,100,,,,,,
1,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,7653,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,7653,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.2285752579884444,0.16627406656880034,0.18963973389642283,0.27126663085413244
5,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist,200,,,,,,
6,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,7653,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,7653,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.2187690673705657,0.14774679051207895,0.15206697124565255,0.25909384942453634
10,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist,400,,,,,,
11,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,7653,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,7653,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.1743543052716291,0.09715192043736241,0.12938030506994408,0.16544114428167184
15,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist,600,,,,,,
16,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,7653,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,7653,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.17571419023450685,0.11997775032266478,0.15233650658923076,0.22215364031551693
20,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist,800,,,,,,
21,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,7653,FuseConfig.WD_LR,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,7653,FuseConfig.WD_LR,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,7653,FuseConfig.WD_LR,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.1845778227461949,0.11796386401583066,0.11723723416282568,0.21721037553291422
