,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,100,,,,,,
1,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,7653,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0,0,0.2120981797139136,0.15006455600531934,0.15909060863079766,0.20268528559008092
4,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.17835698378460824,0.11808646703441712,0.14042770825645934,0.19260082960401853
5,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,200,,,,,,
6,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,200,,,,,,
7,7653,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0,0,0.15403737566157621,0.11528662843413542,0.13421806999368863,0.19629351235137843
9,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.20569908547440036,0.14479802234339165,0.11800785050526423,0.15624028984234367
10,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,400,,,,,,
11,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,400,,,,,,
12,7653,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,0,0,0.160631151010268,0.1132116253485755,0.15454850165174336,0.19642223093022348
14,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.12957191189438438,0.08304419796295669,0.13383430205976593,0.18746074229440102
15,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,600,,,,,,
16,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,600,,,,,,
17,7653,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0,0,0.17272030016931317,0.1368505216936888,0.14832064281733442,0.2116869378846439
19,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0,0,0.19593326938128525,0.13450446723344006,0.14410837378974237,0.19540256279943358
20,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist,800,,,,,,
21,7653,FuseConfig.W_D_L_R,,True,Vision_Random,wrist+wrist_depth,800,,,,,,
22,7653,FuseConfig.W_D_L_R,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0,0,0.1501847589112686,0.1292928223575879,0.12902731552660526,0.17096698840390373
24,7653,FuseConfig.W_D_L_R,fusing_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0,0,0.16621063499043315,0.12293156241804645,0.1301368406248475,0.19648372172166842
