,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist,100,,,,,,
1,3790,FuseConfig.Wfilm_D_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,100,0,0,0.3091165596546613,0.17206753603115002,0.19006758773371907,0.2642986378303565
2,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist,200,,,,,,
6,3790,FuseConfig.Wfilm_D_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.37261776725387763,0.16368119522862468,0.15415330157479443,0.2640037839461432
7,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist,400,,,,,,
11,3790,FuseConfig.Wfilm_D_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,0,0.29181542613651107,0.1316441509380221,0.12379754592597754,0.2520155404774187
12,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,,,,,,
15,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist,600,,,,,,
16,3790,FuseConfig.Wfilm_D_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.35801117208747507,0.1847920232208491,0.11521389781431472,0.2136852194846695
17,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
20,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist,800,,,,,,
21,3790,FuseConfig.Wfilm_D_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.29809444903561766,0.17122838690139827,0.15883603214722258,0.28422493414691136
22,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,3790,FuseConfig.Wfilm_D_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
