,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist,100,,,,,,
1,7653,FuseConfig.Wfilm_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,100,0,1,0.3624679305153352,0.24775392565483273,0.19488050068372278,0.2615926385430047
2,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,,,,,,
5,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist,200,,,,,,
6,7653,FuseConfig.Wfilm_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,200,0,0,0.30731840802332827,0.18691630745646795,0.18376370049523447,0.3136599695970435
7,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
8,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
9,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,,,,,,
10,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist,400,,,,,,
11,7653,FuseConfig.Wfilm_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,400,0,2,0.37119585122697296,0.22755269753298565,0.2028105259296432,0.26587770893041096
12,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
13,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
14,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,,,,,,
15,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist,600,,,,,,
16,7653,FuseConfig.Wfilm_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,600,0,0,0.3512025384508319,0.20988127566339804,0.15487710089652124,0.25078878011669536
17,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,600,,,,,,
18,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,600,,,,,,
19,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,,,,,,
20,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist,800,,,,,,
21,7653,FuseConfig.Wfilm_Dfilm_LATE,fusing_policy,False,Vision_Random,wrist+wrist_depth,800,0,0,0.2577728918120761,0.14165195155885213,0.12735008332854755,0.15928716315008223
22,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,l_shoulder+r_shoulder,800,,,,,,
23,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder,800,,,,,,
24,7653,FuseConfig.Wfilm_Dfilm_LATE,,True,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,,,,,,
