,rep,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
1,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
2,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
3,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
4,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
5,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
6,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
7,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
8,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
9,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,100,,,,,,,,
10,1,FuseConfig.WLR_D,False,Vision_Random,0,wrist+wrist_depth,100,False,False,0.08966646607847303,0.08952379947867561,0.06434155919979358,0.06324830816735859,[],[]
11,1,FuseConfig.WLR_D,False,Vision_Random,1,wrist+wrist_depth,100,False,False,0.16703332676669203,0.16703332676669203,0.1526302721216416,0.1526302721216416,[],[]
12,1,FuseConfig.WLR_D,False,Vision_Random,2,wrist+wrist_depth,100,False,False,0.3085559009608219,0.3085559009608219,0.06567503811245129,0.06310959241859947,[],[]
13,1,FuseConfig.WLR_D,False,Vision_Random,3,wrist+wrist_depth,100,False,False,0.07757699835535187,0.07757699835535187,0.2419897805707709,0.23526844730946267,[],[]
14,1,FuseConfig.WLR_D,False,Vision_Random,4,wrist+wrist_depth,100,False,False,0.08810127388701239,0.07849577803089361,0.23475022618448188,0.2269922645683257,[],[]
15,1,FuseConfig.WLR_D,False,Vision_Random,5,wrist+wrist_depth,100,False,False,0.08046919215677481,0.08046919215677481,0.1674863863247295,0.1644886142401885,[],[]
16,1,FuseConfig.WLR_D,False,Vision_Random,6,wrist+wrist_depth,100,False,False,0.07781988988713454,0.07768231116791004,0.23453251801848718,0.22320293544274142,[],[]
17,1,FuseConfig.WLR_D,False,Vision_Random,7,wrist+wrist_depth,100,False,False,0.43676359177873664,0.4236876698825417,0.12537552279693515,0.12179571067324953,[],[]
18,1,FuseConfig.WLR_D,False,Vision_Random,8,wrist+wrist_depth,100,False,False,0.08285236957971284,0.08285236957971284,0.12260410239878186,0.12260410239878186,[],[]
19,1,FuseConfig.WLR_D,False,Vision_Random,9,wrist+wrist_depth,100,False,False,0.08883336897910267,0.08294648231761166,0.06401631582006279,0.06302434073189277,[],[]
20,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
21,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
22,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
23,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
24,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
25,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
26,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
27,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
28,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
29,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,100,,,,,,,,
30,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
31,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
32,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
33,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
34,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
35,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
36,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
37,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
38,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
39,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,100,,,,,,,,
40,1,FuseConfig.WLR_D,False,Vision_Random,0,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.1517506251422508,0.14837887640900685,0.08752836836225629,0.07442885362842987,[],[]
41,1,FuseConfig.WLR_D,False,Vision_Random,1,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.12304149089198625,0.12304149089198625,0.05636414361790724,0.055682645756566757,[],[]
42,1,FuseConfig.WLR_D,False,Vision_Random,2,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.2657870944562146,0.2657870944562146,0.13575577001022893,0.10599108294854724,[],[]
43,1,FuseConfig.WLR_D,False,Vision_Random,3,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.1294486027143391,0.1293906741942016,0.15097965998092014,0.1372013486952863,[],[]
44,1,FuseConfig.WLR_D,False,Vision_Random,4,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.14222927432987925,0.11992970984100497,0.2774814331348863,0.2550110537416576,[],[]
45,1,FuseConfig.WLR_D,False,Vision_Random,5,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.13220049749932913,0.1257258444092678,0.07885308003092213,0.07344933222517151,[],[]
46,1,FuseConfig.WLR_D,False,Vision_Random,6,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.148162071289163,0.13715187915848523,0.2728428047980998,0.24223102075438688,[],[]
47,1,FuseConfig.WLR_D,False,Vision_Random,7,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.2291367766993604,0.21971231944912006,0.12030056045106707,0.06933515576961213,[],[]
48,1,FuseConfig.WLR_D,False,Vision_Random,8,wrist+l_shoulder+r_shoulder+wrist_depth,100,True,False,0.0913750235036077,0.0913750235036077,0.059287797836177554,0.059287797836177554,['outputs/run-grasp-with-agent/_June06_22-24'],[]
49,1,FuseConfig.WLR_D,False,Vision_Random,9,wrist+l_shoulder+r_shoulder+wrist_depth,100,False,False,0.12971544239919036,0.1265393351923785,0.11264560168818613,0.07453513575139838,[],[]
50,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
51,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
52,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
53,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
54,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
55,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
56,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
57,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
58,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
59,1,FuseConfig.WLR_D,True,Vision_Random,,wrist,150,,,,,,,,
60,1,FuseConfig.WLR_D,False,Vision_Random,0,wrist+wrist_depth,150,False,False,0.08402140486153946,0.08046730307943246,0.061666123632391844,0.061666123632391844,[],[]
61,1,FuseConfig.WLR_D,False,Vision_Random,1,wrist+wrist_depth,150,False,False,0.07922596412933129,0.0788975972243936,0.13049097909211405,0.10642935692552791,[],[]
62,1,FuseConfig.WLR_D,False,Vision_Random,2,wrist+wrist_depth,150,False,False,0.07955203755948714,0.07952115247305758,0.06805157309119597,0.06415934369848342,[],[]
63,1,FuseConfig.WLR_D,False,Vision_Random,3,wrist+wrist_depth,150,False,False,0.07817368882599678,0.07806271330990938,0.3298639647174037,0.19049163116459872,[],[]
64,1,FuseConfig.WLR_D,False,Vision_Random,4,wrist+wrist_depth,150,False,False,0.08286360321950516,0.07906428504621141,0.3872441723246064,0.24498765687479473,[],[]
65,1,FuseConfig.WLR_D,False,Vision_Random,5,wrist+wrist_depth,150,False,False,0.08092387819952657,0.07971309069276995,0.28604032144182673,0.12051224828165759,[],[]
66,1,FuseConfig.WLR_D,False,Vision_Random,6,wrist+wrist_depth,150,True,False,0.07766881468929511,0.07766881468929511,0.39028301840253443,0.23824015340926363,['outputs/run-grasp-with-agent/_June06_22-24'],[]
67,1,FuseConfig.WLR_D,False,Vision_Random,7,wrist+wrist_depth,150,True,False,0.08648318096906611,0.08648318096906611,0.06910490618949118,0.0632120085146098,['outputs/run-grasp-with-agent/_June06_22-24'],[]
68,1,FuseConfig.WLR_D,False,Vision_Random,8,wrist+wrist_depth,150,True,False,0.0841119105782993,0.0841119105782993,0.11382846221900174,0.08023754624468939,['outputs/run-grasp-with-agent/_June06_22-24'],[]
69,1,FuseConfig.WLR_D,False,Vision_Random,9,wrist+wrist_depth,150,False,False,0.08001419123420496,0.07804041167760682,0.06727652410637067,0.06335313947078182,[],[]
70,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
71,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
72,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
73,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
74,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
75,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
76,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
77,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
78,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
79,1,FuseConfig.WLR_D,True,Vision_Random,,l_shoulder+r_shoulder,150,,,,,,,,
80,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
81,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
82,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
83,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
84,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
85,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
86,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
87,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
88,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
89,1,FuseConfig.WLR_D,True,Vision_Random,,wrist+l_shoulder+r_shoulder,150,,,,,,,,
90,1,FuseConfig.WLR_D,False,Vision_Random,0,wrist+l_shoulder+r_shoulder+wrist_depth,150,False,False,0.23456540684516558,0.15682722724008993,0.2523393537234154,0.07476213393170046,[],[]
91,1,FuseConfig.WLR_D,False,Vision_Random,1,wrist+l_shoulder+r_shoulder+wrist_depth,150,False,False,0.18729055361849783,0.16955783594699694,0.3365339533090658,0.15991392501586252,[],[]
