,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,100,,,,,,
1,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,100,0,0,0.13164894965922855,0.11405958027272844,0.12513329454402464,0.20111673978410427
2,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0,0,0.15165248669636444,0.14034420357763913,0.12459716362531763,0.1455437893876143
5,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,150,,,,,,
6,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,150,0,0,0.10161553279277949,0.09265360090417403,0.11620064704213326,0.19258802905672484
7,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,2,0,0.135947261398381,0.11761550409651271,0.10961463911964989,0.13936484345573683
10,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,200,,,,,,
11,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,200,0,0,0.11971085644039843,0.08056778409829268,0.12157939982162921,0.19259521741136018
12,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0,0,0.09800965616766384,0.09177892271089264,0.11404954398090632,0.3046330958325969
15,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,400,,,,,,
16,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,400,0,0,0.10115467865205294,0.0819528807414152,0.1225736149401063,0.20661702787606567
17,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0,0,0.15998660295311487,0.14327933390937003,0.127199275980185,0.2149169699782278
20,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,500,,,,,,
21,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,500,2,0,0.13861072428517612,0.11237011082250321,0.12588831451947535,0.19333312043787637
22,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,2,0,0.10654862950618715,0.0872029077074283,0.12453989133038357,0.20702105519492892
25,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,1000,,,,,,
26,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,1000,0,0,0.11662595225953747,0.10045480603591428,0.12212686155565526,0.2154888240077535
27,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0,0.11401399293709527,0.10163306023000854,0.11690523634791819,0.23937958260064493
30,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist,2000,,,,,,
31,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,2000,3,0,0.14432072142247165,0.09447405236060026,0.11855626321590818,0.22430531078873797
32,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,3,FuseConfig.DEPTH_FEATS_GATED,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,3,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,2,0,0.15450260541841573,0.0800209520256587,0.11956491610925817,0.24751705793302087
