,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,1,FuseConfig.WD_LR,True,Vision_Random,wrist,100,,,,,,
1,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0,0.11106812692908759,0.10668460891307363,0.16049374482841022,0.26216708734061456
5,1,FuseConfig.WD_LR,True,Vision_Random,wrist,150,,,,,,
6,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,150,,,,,,
7,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0,0,0.10583657024307622,0.10221620343466786,0.1617520778447091,0.2527417368426819
10,1,FuseConfig.WD_LR,True,Vision_Random,wrist,200,,,,,,
11,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,200,,,,,,
12,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1,0,0.1544524467231357,0.1203410379292981,0.1410012571720022,0.19678667991656912
15,1,FuseConfig.WD_LR,True,Vision_Random,wrist,400,,,,,,
16,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,400,,,,,,
17,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1,0,0.1100585434955355,0.10667181737857048,0.12844452873591902,0.1948598778965839
20,1,FuseConfig.WD_LR,True,Vision_Random,wrist,500,,,,,,
21,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,500,,,,,,
22,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,0,0,0.11727309334410888,0.09833801338242092,0.11778088926084432,0.16609378679535142
25,1,FuseConfig.WD_LR,True,Vision_Random,wrist,1000,,,,,,
26,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,1000,,,,,,
27,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0,0.1355478135360677,0.0890707250082167,0.12144082650344423,0.26651485373648026
30,1,FuseConfig.WD_LR,True,Vision_Random,wrist,2000,,,,,,
31,1,FuseConfig.WD_LR,True,Vision_Random,wrist+wrist_depth,2000,,,,,,
32,1,FuseConfig.WD_LR,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,1,FuseConfig.WD_LR,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,1,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0,0,0.17069447454050551,0.10535548097193193,0.12385502305738831,0.24723631048280428
