,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,100,,,,,,
1,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,100,,,,,,
2,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,100,,,,,,
3,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,100,,,,,,
4,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0,0.1379874300446038,0.10095019233370317,0.11213397072826337,0.29827724309355874
5,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,150,,,,,,
6,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,150,,,,,,
7,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,150,,,,,,
8,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,150,,,,,,
9,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,2,1,0.16593863847843743,0.14297196003889628,0.10276561016750711,0.1609539261904178
10,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,200,,,,,,
11,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,200,,,,,,
12,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,200,,,,,,
13,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,200,,,,,,
14,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,4,3,0.17813595138099028,0.16249188112909274,0.11792951284679318,0.20023362275401152
15,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,400,,,,,,
16,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,400,,,,,,
17,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,400,,,,,,
18,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,400,,,,,,
19,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,5,2,0.10108339420864569,0.09579668992737438,0.11609572134337116,0.17166069843243487
20,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,500,,,,,,
21,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,500,,,,,,
22,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,500,,,,,,
23,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,500,,,,,,
24,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,4,0,0.16548416204516098,0.1324405758969217,0.11491676702361711,0.18822834582939213
25,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,1000,,,,,,
26,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,1000,,,,,,
27,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,1000,,,,,,
28,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,1000,,,,,,
29,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,1,0,0.15150533360429394,0.12704507793656927,0.12097071406690367,0.2813257594550663
30,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist,2000,,,,,,
31,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+wrist_depth,2000,,,,,,
32,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,l_shoulder+r_shoulder,2000,,,,,,
33,4,FuseConfig.WD_LR_ATTN,True,Vision_Random,wrist+l_shoulder+r_shoulder,2000,,,,,,
34,4,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,2,1,0.22901901497959637,0.14702282149420715,0.11363768757122136,0.24494671175281785
