epoch,minibatch_size,learning_rate,demo_count,final_dist
100,16,0.01,1,0.24578344932019108
100,16,0.01,2,0.24310536116307097
100,16,0.01,5,0.24576186003316308
100,16,0.01,10,0.10417033767558023
100,16,0.005,1,0.2809874116126013
100,16,0.005,2,0.20028177501660727
100,16,0.005,5,0.31797009593444464
100,16,0.005,10,0.18472252206815512
100,16,0.0025,1,0.4613889265833867
100,16,0.0025,2,0.4355148621444811
100,16,0.0025,5,0.23835526144269287
100,16,0.0025,10,0.23793504875975602
100,32,0.01,1,0.22624718744013314
100,32,0.01,2,0.27857628792999173
100,32,0.01,5,0.24549998739553897
100,32,0.01,10,0.17106954705562044
100,32,0.005,1,0.3207020727264887
100,32,0.005,2,0.37333252760193136
100,32,0.005,5,0.2687410154312343
100,32,0.005,10,0.1808492378801114
100,32,0.0025,1,0.4778191683666848
100,32,0.0025,2,0.5139148149398913
100,32,0.0025,5,0.30355367091283536
100,32,0.0025,10,0.3092946472382184
150,16,0.01,1,0.3078645014068461
150,16,0.01,2,0.09018075779276179
150,16,0.01,5,0.17407690578324886
150,16,0.01,10,0.08765162877353035
150,16,0.005,1,0.17113986101602607
150,16,0.005,2,0.22386508120680362
150,16,0.005,5,0.1972491966614296
150,16,0.005,10,0.11701406667934391
150,16,0.0025,1,0.2767088448978413
150,16,0.0025,2,0.4442808994099832
150,16,0.0025,5,0.325485069084482
150,16,0.0025,10,0.13899749772351236
150,32,0.01,1,0.2214039920937932
150,32,0.01,2,0.17988892256624114
150,32,0.01,5,0.2485280332191226
150,32,0.01,10,0.11562200581160709
150,32,0.005,1,0.220403668126484
150,32,0.005,2,0.26821947029547355
150,32,0.005,5,0.20776666732535967
150,32,0.005,10,0.19543914211075614
150,32,0.0025,1,0.24687889311333405
150,32,0.0025,2,0.3020882948163369
150,32,0.0025,5,0.2492197277449327
150,32,0.0025,10,0.22715081282360447
200,16,0.01,1,0.20175623945357185
200,16,0.01,2,0.13974223821476908
200,16,0.01,5,0.2728814784463133
200,16,0.01,10,0.23867401000983063
200,16,0.005,1,0.1666919006778965
200,16,0.005,2,0.2453075030402084
200,16,0.005,5,0.23243861850742703
200,16,0.005,10,0.10363295433009234
200,16,0.0025,1,0.21997678733774823
200,16,0.0025,2,0.3324728840160974
200,16,0.0025,5,0.19332435702485123
200,16,0.0025,10,0.1929199165233039
200,32,0.01,1,0.20495465140081576
200,32,0.01,2,0.2879758687320741
200,32,0.01,5,0.27792610759660286
200,32,0.01,10,0.20094901432376125
200,32,0.005,1,0.2806220623401131
200,32,0.005,2,0.260872974043726
200,32,0.005,5,0.23039131313480316
200,32,0.005,10,0.26562941133058215
200,32,0.0025,1,0.40148026105983464
200,32,0.0025,2,0.34433957351299754
200,32,0.0025,5,0.2750170130855936
200,32,0.0025,10,0.22966672056163925
300,16,0.01,1,0.1649074526737374
300,16,0.01,2,0.2713093044984618
300,16,0.01,5,0.2767354406691789
300,16,0.01,10,0.16472102834686536
300,16,0.005,1,0.3013016632430778
300,16,0.005,2,0.39472419452455565
300,16,0.005,5,0.20106696783487582
300,16,0.005,10,0.15036679751588622
300,16,0.0025,1,0.1944509802051022
300,16,0.0025,2,0.29208679843111374
300,16,0.0025,5,0.27559892195952884
300,16,0.0025,10,0.1390279098271431
300,32,0.01,1,0.21369723602986576
300,32,0.01,2,0.19545456204931838
300,32,0.01,5,0.22732550047625102
300,32,0.01,10,0.16337398971099004
300,32,0.005,1,0.2731120120410086
300,32,0.005,2,0.3430051946960219
300,32,0.005,5,0.24648017971127145
300,32,0.005,10,0.20150700849709619
300,32,0.0025,1,0.23837186378201944
300,32,0.0025,2,0.2660045972884951
300,32,0.0025,5,0.282567469435216
300,32,0.0025,10,0.1892255051298018
