epoch,minibatch_size,learning_rate,task_name,demo_count,final_dists,has_reached,final_dist_avg
1000,32,0.0001,ReachObs_RandomStatic,1,"[0.72605045 0.72612019 0.72611985 0.72609916 0.72612073 0.72612018 0.72608162 0.72608452 0.72608852 0.72609464]",[False False False False False False False False False False],0.7260979857839928
1000,32,0.0001,ReachObs_RandomStatic,5,"[0.72606505 0.72602432 0.72607045 0.72610127 0.72618093 0.72611583 0.72615834 0.72614712 0.72609133 0.7261089 ]",[False False False False False False False False False False],0.7261063542134053
1000,32,0.0001,ReachObs_Random,1,"[0.7278731  0.72451704 0.74565944 0.78223747 0.7317591  0.74888345 0.77662808 0.75532188 0.78017257 0.7263014 ]",[False False False False False False False False False False],0.7499353531498014
1000,32,0.0001,ReachObs_Random,5,"[0.7521406  0.7618224  0.73224689 0.76919216 0.72462298 0.72310458 0.74926838 0.75918796 0.74166736 0.74244524]",[False False False False False False False False False False],0.7455698549250206
1000,32,0.0001,ReachObs_IndRandom,1,"[0.77401313 0.75087429 0.76685169 0.77798702 0.76762459 0.76340482 0.80540773 0.76225549 0.78501008 0.75040996]",[False False False False False False False False False False],0.770383880613198
1000,32,0.0001,ReachObs_IndRandom,5,"[0.77898395 0.75626067 0.75945621 0.80422975 0.77969979 0.75041861 0.74935754 0.80760194 0.76021307 0.81801747]",[False False False False False False False False False False],0.7764239005588716
1000,64,0.0001,ReachObs_RandomStatic,1,"[0.72615398 0.72613132 0.7260932  0.72609813 0.72608125 0.72614843 0.72613642 0.72609022 0.72607294 0.7261444 ]",[False False False False False False False False False False],0.7261150299142678
1000,64,0.0001,ReachObs_RandomStatic,5,"[0.726087   0.72604845 0.72609642 0.72612072 0.72611189 0.72608889 0.72611022 0.72600733 0.72606322 0.72605698]",[False False False False False False False False False False],0.7260791126097264
1000,64,0.0001,ReachObs_Random,1,"[0.76027632 0.7453386  0.74185994 0.76455728 0.7565702  0.749686 0.73801868 0.73743397 0.77017144 0.76464959]",[False False False False False False False False False False],0.7528562032403958
1000,64,0.0001,ReachObs_Random,5,"[0.73174356 0.76309856 0.7453119  0.72532376 0.74668534 0.73518886 0.72433894 0.72976773 0.76221295 0.73762662]",[False False False False False False False False False False],0.7401298212925959
1000,64,0.0001,ReachObs_IndRandom,1,"[0.79006531 0.76395023 0.79191141 0.75441479 0.76020215 0.77657444 0.80903871 0.76552891 0.75400098 0.78502146]",[False False False False False False False False False False],0.7750708399680925
1000,64,0.0001,ReachObs_IndRandom,5,"[0.79928526 0.80182427 0.81555661 0.76737037 0.77839758 0.7776386 0.77564107 0.75537813 0.76123201 0.79601443]",[False False False False False False False False False False],0.7828338336796785
1000,32,0.0001,ReachObs_RandomStatic,10,"[0.7260293  0.72603402 0.7261339  0.72606081 0.72612917 0.72609653 0.72611826 0.72610674 0.72608074 0.72608806]",[False False False False False False False False False False],0.7260877537122065
1000,32,0.0001,ReachObs_Random,10,"[0.74217418 0.76372666 0.72294664 0.73334712 0.73325935 0.72522709 0.74475183 0.73639801 0.76100501 0.76253265]",[False False False False False False False False False False],0.7425368538745947
1000,32,0.0001,ReachObs_IndRandom,10,"[0.75269474 0.7661515  0.78608283 0.74943968 0.79165382 0.77899314 0.77537439 0.767856   0.77454614 0.76479668]",[False False False False False False False False False False],0.7707588920354139
