cam_type,demo_count,final_dist
wrist,1,0.24628208165521853
wrist,2,0.21961828027666508
wrist,5,0.2518830937139057
wrist,10,0.2871446631692082
+l_shoulder,1,0.10512043937996518
+l_shoulder,2,0.1309530697868065
+l_shoulder,5,0.13227608107999517
+l_shoulder,10,0.17227499867379092
wrist+l_shoulder,1,0.6611997775334932
wrist+l_shoulder,2,0.3543719145973653
wrist+l_shoulder,5,0.1534853789837751
wrist+l_shoulder,10,0.11057251772474275
+r_shoulder,1,0.13910003619884945
+r_shoulder,2,0.18637849140868662
+r_shoulder,5,0.21199131107358257
+r_shoulder,10,0.1549994832000742
wrist+r_shoulder,1,0.22115603117497576
wrist+r_shoulder,2,0.2720170277798416
wrist+r_shoulder,5,0.16604564714812592
wrist+r_shoulder,10,0.10770089653440791
+l_shoulder+r_shoulder,1,0.1988603328118107
+l_shoulder+r_shoulder,2,0.31676832546087075
+l_shoulder+r_shoulder,5,0.1555582012513426
+l_shoulder+r_shoulder,10,0.11797911838196448
wrist+l_shoulder+r_shoulder,1,0.19607343529837376
wrist+l_shoulder+r_shoulder,2,0.08230181696967447
wrist+l_shoulder+r_shoulder,5,0.15241046734377345
wrist+l_shoulder+r_shoulder,10,0.1055244705646102
