,task_name,cam_type,demo_count,pool_method,avg_final_dist,avg_avg_attn_below,avg_avg_attn_above
0,ReachObs_Random,wrist,5,mean,0.830383163429493,tensor([[1.]]),tensor([[1.]])
1,ReachObs_Random,wrist,5,max,0.7282647489973767,tensor([[1.]]),tensor([[1.]])
2,ReachObs_Random,wrist,10,mean,0.6589255998840022,tensor([[1.]]),tensor([[1.]])
3,ReachObs_Random,wrist,10,max,0.47843433184919804,tensor([[1.]]),tensor([[1.]])
4,ReachObs_Random,wrist+l_shoulder,5,mean,0.5096058819234124,"tensor([[0.4878, 0.5122]])","tensor([[0.4936, 0.5064]])"
5,ReachObs_Random,wrist+l_shoulder,5,max,0.28721450127833664,"tensor([[0.0901, 0.9099]])","tensor([[0.0722, 0.9278]])"
6,ReachObs_Random,wrist+l_shoulder,10,mean,0.3557227113926358,"tensor([[0.4974, 0.5026]])","tensor([[0.4993, 0.5007]])"
7,ReachObs_Random,wrist+l_shoulder,10,max,0.20892752951008414,"tensor([[0.1376, 0.8624]])","tensor([[0.1677, 0.8323]])"
8,ReachObs_Random,wrist+r_shoulder,5,mean,0.6278739278885908,"tensor([[0.4925, 0.5075]])","tensor([[0.4918, 0.5082]])"
9,ReachObs_Random,wrist+r_shoulder,5,max,0.42939063278837664,"tensor([[0.0999, 0.9001]])","tensor([[0.0995, 0.9005]])"
10,ReachObs_Random,wrist+r_shoulder,10,mean,0.4682874046199041,"tensor([[0.4972, 0.5028]])","tensor([[0.4983, 0.5017]])"
11,ReachObs_Random,wrist+r_shoulder,10,max,0.4847979040220404,"tensor([[0.0940, 0.9060]])","tensor([[0.0708, 0.9292]])"
12,ReachObs_Random,wrist+l_shoulder+r_shoulder,5,mean,0.6089737956446661,"tensor([[0.3278, 0.3343, 0.3379]])","tensor([[0.3317, 0.3306, 0.3377]])"
13,ReachObs_Random,wrist+l_shoulder+r_shoulder,5,max,0.5674758833316974,"tensor([[0.0070, 0.5976, 0.3954]])","tensor([[0.0311, 0.4494, 0.5196]])"
14,ReachObs_Random,wrist+l_shoulder+r_shoulder,10,mean,0.46535539510820884,"tensor([[0.3330, 0.3327, 0.3343]])","tensor([[0.3324, 0.3325, 0.3350]])"
15,ReachObs_Random,wrist+l_shoulder+r_shoulder,10,max,0.27133750997308587,"tensor([[0.0119, 0.5022, 0.4858]])","tensor([[0.0437, 0.4456, 0.5108]])"
