epoch,minibatch_size,learning_rate,demo_count,final_dist
150,16,0.01,10,0.08765162877353035
150,16,0.01,2,0.09018075779276179
200,16,0.005,10,0.10363295433009234
100,16,0.01,10,0.10417033767558023
150,32,0.01,10,0.11562200581160709
150,16,0.005,10,0.11701406667934391
150,16,0.0025,10,0.13899749772351236
300,16,0.0025,10,0.1390279098271431
200,16,0.01,2,0.13974223821476908
300,16,0.005,10,0.15036679751588622
300,32,0.01,10,0.16337398971099004
300,16,0.01,10,0.16472102834686536
300,16,0.01,1,0.1649074526737374
200,16,0.005,1,0.1666919006778965
100,32,0.01,10,0.17106954705562044
150,16,0.005,1,0.17113986101602607
150,16,0.01,5,0.17407690578324886
150,32,0.01,2,0.17988892256624114
100,32,0.005,10,0.1808492378801114
100,16,0.005,10,0.18472252206815512
300,32,0.0025,10,0.1892255051298018
200,16,0.0025,10,0.1929199165233039
200,16,0.0025,5,0.19332435702485123
300,16,0.0025,1,0.1944509802051022
150,32,0.005,10,0.19543914211075614
300,32,0.01,2,0.19545456204931838
150,16,0.005,5,0.1972491966614296
100,16,0.005,2,0.20028177501660727
200,32,0.01,10,0.20094901432376125
300,16,0.005,5,0.20106696783487582
300,32,0.005,10,0.20150700849709619
200,16,0.01,1,0.20175623945357185
200,32,0.01,1,0.20495465140081576
150,32,0.005,5,0.20776666732535967
300,32,0.01,1,0.21369723602986576
200,16,0.0025,1,0.21997678733774823
150,32,0.005,1,0.220403668126484
150,32,0.01,1,0.2214039920937932
150,16,0.005,2,0.22386508120680362
100,32,0.01,1,0.22624718744013314
150,32,0.0025,10,0.22715081282360447
300,32,0.01,5,0.22732550047625102
200,32,0.0025,10,0.22966672056163925
200,32,0.005,5,0.23039131313480316
200,16,0.005,5,0.23243861850742703
100,16,0.0025,10,0.23793504875975602
100,16,0.0025,5,0.23835526144269287
300,32,0.0025,1,0.23837186378201944
200,16,0.01,10,0.23867401000983063
100,16,0.01,2,0.24310536116307097
200,16,0.005,2,0.2453075030402084
100,32,0.01,5,0.24549998739553897
100,16,0.01,5,0.24576186003316308
100,16,0.01,1,0.24578344932019108
300,32,0.005,5,0.24648017971127145
150,32,0.0025,1,0.24687889311333405
150,32,0.01,5,0.2485280332191226
150,32,0.0025,5,0.2492197277449327
200,32,0.005,2,0.260872974043726
200,32,0.005,10,0.26562941133058215
300,32,0.0025,2,0.2660045972884951
150,32,0.005,2,0.26821947029547355
100,32,0.005,5,0.2687410154312343
300,16,0.01,2,0.2713093044984618
200,16,0.01,5,0.2728814784463133
300,32,0.005,1,0.2731120120410086
200,32,0.0025,5,0.2750170130855936
300,16,0.0025,5,0.27559892195952884
150,16,0.0025,1,0.2767088448978413
300,16,0.01,5,0.2767354406691789
200,32,0.01,5,0.27792610759660286
100,32,0.01,2,0.27857628792999173
200,32,0.005,1,0.2806220623401131
100,16,0.005,1,0.2809874116126013
300,32,0.0025,5,0.282567469435216
200,32,0.01,2,0.2879758687320741
300,16,0.0025,2,0.29208679843111374
300,16,0.005,1,0.3013016632430778
150,32,0.0025,2,0.3020882948163369
100,32,0.0025,5,0.30355367091283536
150,16,0.01,1,0.3078645014068461
100,32,0.0025,10,0.3092946472382184
100,16,0.005,5,0.31797009593444464
100,32,0.005,1,0.3207020727264887
150,16,0.0025,5,0.325485069084482
200,16,0.0025,2,0.3324728840160974
300,32,0.005,2,0.3430051946960219
200,32,0.0025,2,0.34433957351299754
100,32,0.005,2,0.37333252760193136
300,16,0.005,2,0.39472419452455565
200,32,0.0025,1,0.40148026105983464
100,16,0.0025,2,0.4355148621444811
150,16,0.0025,2,0.4442808994099832
100,16,0.0025,1,0.4613889265833867
100,32,0.0025,1,0.4778191683666848
100,32,0.0025,2,0.5139148149398913
