,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
0,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.12321094459051601,0.12321094459051601,90,[]
1,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.3368693864317596,0.31325125352673516,90,[]
2,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.16526657529564479,0.16526657529564479,90,[]
3,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.2997937469708454,0.2746249412212304,90,[]
4,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.2394505636300323,0.23492193401825767,90,[]
5,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.1312465994709107,0.1312465994709107,90,[]
6,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.3447375276003372,0.31584015693842016,90,[]
7,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.36822753554895166,0.3253094381055571,90,[]
8,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.32360406231777905,0.28620115984781186,90,[]
9,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.25058298261147827,0.21426671347829412,90,[]
10,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.15199359371537385,0.12084590398306434,90,[]
11,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.45914390662633997,0.31702999320250497,90,[]
12,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.4159640007892458,0.25813032796869556,90,[]
13,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,True,0.0897554019766819,0.0897554019766819,90,['outputs/run-grasp-with-agent/_May26_23-49']
14,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.3854009027400309,0.2546426456193201,90,[]
15,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.06586140203447344,0.06546187562609884,90,[]
16,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.45502606147054225,0.2682801491520177,90,[]
17,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.5269268687838836,0.4001861876844358,90,[]
18,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.10575404681104285,0.10519920401732695,90,[]
19,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.3516351849463801,0.1153702817960018,90,[]
20,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.1979567871494565,0.09358091691797575,90,"['outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49']"
21,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.5649097552794711,0.3712152761796496,90,"['outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49']"
22,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.13606147156356255,0.135290127986778,90,"['outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49', 'outputs/run-grasp-with-agent/_May26_23-49']"
