,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
0,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.18911811978110152,0.1163940501132983,90,[]
1,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.47590962607651516,0.43005888460028463,90,[]
2,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.3040035811504019,0.21545508111466044,90,[]
3,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.12015386379602218,0.11280838160295216,90,[]
4,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.42806215600187386,0.29646282825352954,90,[]
5,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.20098600039242473,0.19497431656588077,90,[]
6,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.46038027657014474,0.3063162398822084,90,[]
7,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.5162246889861593,0.16513984003862747,90,[]
8,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,True,0.09219082520246308,0.08731114248252081,90,['outputs/run-grasp-with-agent/_May27_00-24']
9,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.09261399361858505,0.09261399361858505,90,[]
10,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.1851506373555483,0.15158871842499033,90,[]
11,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.07814646980831658,0.07639426338034981,90,"['outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24']"
12,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.32063917195017605,0.2665575885126323,90,[]
13,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.43277864198488425,0.14833878506742346,90,[]
14,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.09230053836925466,0.08155595647558563,90,[]
15,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.2619366724631037,0.21726213998138386,90,[]
16,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,True,0.07869352642664057,0.07869352642664057,90,['outputs/run-grasp-with-agent/_May27_00-24']
17,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.08117144892030347,0.06373290575792931,90,"['outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24']"
18,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.1488963504971694,0.11894766726169877,90,"['outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24', 'outputs/run-grasp-with-agent/_May27_00-24']"
19,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.42640814179919456,0.14127418670057537,90,[]
20,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder-policy:rnn_grasp_policy-rnn_opts:None,control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.09782086926297558,0.09782086926297558,90,[]
