,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
0,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",0,False,0.26824561539045055,0.26824561539045055,104,[]
1,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",1,False,0.06682811024974133,0.062402858389196125,104,[]
2,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",2,False,0.0670964021273505,0.06323237432105372,104,[]
3,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",3,False,0.308279710747629,0.3017388296099174,104,[]
4,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",4,False,0.21178456099507,0.21178456099507,104,[]
5,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",5,False,0.5084217782162673,0.382332362862012,104,[]
6,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",6,False,0.5601076200664066,0.22172667337230617,104,[]
7,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",7,False,0.5102643674231478,0.35999561683983883,104,[]
8,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",8,False,0.256827624785044,0.256827624785044,104,[]
9,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,control,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",9,False,0.06888093381881379,0.06872330957201046,104,[]
10,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",0,False,0.49563563788066717,0.4693254774192802,108,[]
11,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",1,False,0.4881913003619171,0.4814228794586867,108,[]
12,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",2,False,0.21567874519175756,0.19040625569722908,108,[]
13,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",3,False,0.5219609322467769,0.49657166114423407,108,[]
14,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",4,False,0.43112878964608786,0.3945462753916044,108,[]
15,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",5,False,0.21244187646648424,0.21088619580687248,108,[]
16,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",6,False,0.5032646721013568,0.3775340596480957,108,[]
17,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",7,False,0.35682134879716376,0.3500537800109788,108,[]
18,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",8,False,0.2600541918678116,0.25432346165881814,108,[]
19,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,random,"{'scale': 0.5, 'wrist_cam_distance': 0.3}",9,False,0.1642136982137058,0.1603219189387346,108,[]
20,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.4230929588410599,0.39206943034221614,78,[]
21,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.18885971221103634,0.14036644424657926,78,[]
22,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.44757471808582144,0.4067656965507791,78,[]
23,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.41183065842008826,0.41086086360094326,78,[]
24,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.07407246359612084,0.07066510183232202,78,[]
25,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.38137628701629767,0.23888627269421475,78,[]
26,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.308657163195891,0.23725587688160993,78,[]
27,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.07769318052176073,0.07769318052176073,78,[]
28,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.08316481540919174,0.06750917296821114,78,[]
29,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:False,test,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.4198334923434039,0.21172810512356527,78,[]
